,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, 49250.535025302175, 42844.91795697921, 37367.44147582458]","[None, None, 1.3558916275942767, 1.4920086847130627, 1.6820971106983595]","[[], [], [0.3457941993971001, 0.3450936138374042, 0.3424252547031451], [0.24007124117963152, 0.23924026848327595, 0.2378589414785798], [0.2465188530253281, 0.24225308734963336, 0.24539873160039155]]"
1,Augmented Model,"[None, None, 168413.1802814197, 133205.47531697276, 119548.2484514273, 112815.73126000444, 108242.90317933366]","[None, None, 1.6710424332843212, 1.5294828529823337, 1.667130053222682, 1.7497417505611268, 2.0151727245986844]","[[], [], [0.2077252907462882, 0.21112215396804057, 0.21236247742166342], [0.263932072239206, 0.2660691146961456, 0.26102104322483566], [0.27123029262096754, 0.27331250385841677, 0.27830544585542627], [0.25869740418099435, 0.25524211192398877, 0.2632441339310363], [0.1894150683582092, 0.1891783256700244, 0.18910908248857264]]"
2,Indicators Model,"[None, None, 105235.33027180583, 82066.60476935847, 76386.1138610472, 72382.81831688099]","[None, None, 1.5731321549616482, 1.4306852649500506, 1.7601318337248892, 1.6150188548336122]","[[], [], [0.23981783514937788, 0.24078207906802646, 0.2420549221772856], [0.3014390719237052, 0.29227538117918883, 0.2915328471162145], [0.21573548254447633, 0.2115103472352309, 0.21050424405436743], [0.22450712085617797, 0.22286734527085564, 0.2308502973283061]]"
3,Original Reduced Model,"[None, None, 10355.219512313382, 8548.201713035462, 7533.478162969523]","[None, None, 1.0783601685176456, 1.281510089896306, 1.2841425312097896]","[[], [], [0.4145368525280677, 0.4089566683959217, 0.41003700786188585], [0.3060199891086211, 0.30813557590360025, 0.30473674259375627], [0.32808649402733286, 0.3314029131258025, 0.3276013894146872]]"
4,Augmented Reduced Model,"[None, None, 14236.882353733601, 12005.25874157374, 10284.64860227596, 9295.731705567834]","[None, None, 1.2319092189676077, 1.0973387429207253, 1.2858259593644272, 1.3162923890314124]","[[], [], [0.36406237555205273, 0.3605819369624244, 0.3723880277107488], [0.38498351706757855, 0.38455349845662673, 0.38306332558812517], [0.2786192225033276, 0.27520510066125514, 0.2741940611852437], [0.288628541642891, 0.2872137492800177, 0.2972684708713188]]"
5,Indicators Reduced Model,"[None, None, 16175.918057746345, 13323.390555670661, 11315.164574534352]","[None, None, 0.8605863203280517, 1.3974624977552972, 1.2310252557452674]","[[], [], [0.4483508834318444, 0.4471383646194261, 0.4507114854242179], [0.3373278434438575, 0.3364560062565441, 0.3351182159405203], [0.3491250539019116, 0.3512748978883498, 0.34997916269203266]]"
