,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 13475.73898524118]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.2182897018002423]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.32999576143894577, 0.32900228887186483, 0.3306257935851904]]"
1,Augmented Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 43017.44967808517]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.357411182358323]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.2854463054764793, 0.28738498211581676, 0.2869715268874582]]"
2,Indicators Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 62663.12235483574]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.581517828031195]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.2460754852308394, 0.2483230385395912, 0.24472321778929076]]"
3,Original Reduced Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 14036.070824772842]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.1824503392307606]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.3181781803638183, 0.3164817619592447, 0.32038064535858934]]"
4,Augmented Reduced Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 641.2870287071426]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.30797390415506615]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.8580259574270174, 0.8631560561144713, 0.8555239118072666]]"
5,Indicators Reduced Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 181.18326021191712]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.4310440353330839]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.7881210934958762, 0.7869105135620891, 0.7900340217611096]]"
