,method,silhouette,height,labels,k
0,single,0.11910684022192893,1.8793633417056166,[1 1 1 ... 1 1 1],2
1,complete,0.14239000268985766,3.9799868345382667,[6 7 6 ... 3 4 5],8
2,ward,0.14237501020645232,29.378075965530527,[ 3 10  1 ...  6  9  7],10
3,average,0.1532909644192113,2.6167206996801435,[11  9  9 ...  5  8  4],11
4,weighted,0.15711841486616257,2.9373270534186924,[10  9  9 ...  5  8  2],11
5,centroid,0.13395353829321255,2.6790867866463066,[1 1 1 ... 1 1 1],2
6,median,0.02571230767683628,2.599399174267961,[1 1 1 ... 1 1 1],3
