,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, 51514.62404248497, 43997.18827289874, 37586.190665780625, 33408.0235973136, 30285.028387929855, 27170.4199962833, 24960.084826221617, 23237.963189738006, 21746.930216465284, 20232.297267074835, 19174.668632340738, 18492.959938803622, 17490.12718837332, 17038.480876627535, 16077.58282389361, 15759.924618113826, 15060.19504767214, 14264.585411885675, 13475.73898524118]","[None, None, 2.0139362040195468, 1.719508818059562, 1.5175893102787543, 1.362019365068659, 1.3334395091751559, 1.2643887705378494, 1.222614565830788, 1.2371542059114369, 1.2518937965727646, 1.218735129215418, 1.2034349101713315, 1.2370094749105254, 1.2200426171969792, 1.2274459452093553, 1.1922162172040367, 1.199162909341811, 1.2291870081997431, 1.2105773243840994, 1.2182897018002423]","[[], [], [0.19306160628507746, 0.1959830179281312, 0.1869945725983952, 0.19450588590857376, 0.19494774437718065], [0.18853188113550376, 0.18989345171275476, 0.18208154398658086, 0.1936551619271844, 0.1840932722327951], [0.21122128645157523, 0.21599091872899728, 0.20806861255047512, 0.2127351976232244, 0.21193177379642686], [0.21125813598112916, 0.21788695102872224, 0.21167800311343382, 0.2130383663887932, 0.21828304134601326], [0.21458307745642083, 0.21446024647124792, 0.21334057362356754, 0.2135695146126306, 0.2202845861869549], [0.23390267062861209, 0.22941159331813146, 0.22971419174578864, 0.23815584322655592, 0.2386300132455073], [0.2418145604462726, 0.23743092101338953, 0.22913154385932513, 0.2477367189942862, 0.24515575098946044], [0.24823432781695948, 0.25098528513064355, 0.24719446362578917, 0.24747499534701597, 0.2418301464827665], [0.2546210149003237, 0.2535311750951085, 0.24918325231023478, 0.24666504116650464, 0.24232636207783792], [0.2544010676463352, 0.26292919796761816, 0.26508223273065223, 0.2595546570208595, 0.25356677034022773], [0.2672933465424002, 0.25796413247714683, 0.25711073405841234, 0.2676595076546208, 0.26411383942398564], [0.2612662953873002, 0.2641247711811924, 0.2637267871562335, 0.25991445635178745, 0.26261462340128355], [0.2698437157618049, 0.281615249279076, 0.27955718899773546, 0.2814223904574537, 0.27720845860612736], [0.28694891516918997, 0.2805428414923699, 0.2766045903984056, 0.2746475581189174, 0.2810113069181921], [0.29447928457265277, 0.2921941058432956, 0.29536565865241105, 0.2855039647891085, 0.3039530645680147], [0.2755389372716053, 0.28928673522304743, 0.2799227685883457, 0.2787058329908514, 0.275134000622378], [0.2991409177550026, 0.3011729008899212, 0.2814070471877178, 0.2945332426605273, 0.30287698124106693], [0.30558512709478863, 0.3108945236553795, 0.30795383455379366, 0.3034542409703174, 0.31812250953959176], [0.3272234974718115, 0.3152740765382055, 0.32106818648978935, 0.33681251243175137, 0.33172047223325196]]"
1,Augmented Model,"[None, None, 124929.32053250822, 106756.06435429123, 95254.35540076312, 87566.22083083347, 80504.6885732519, 75570.61303577592, 70333.26582140103, 65886.62421602344, 62520.81042107016, 59173.2872023053, 56710.95633622066, 53789.100050695066, 52172.55171309005, 50299.069705955335, 47658.15445217778, 46125.222616813604, 44367.91603656973, 43017.44967808517, 41637.224942774425]","[None, None, 1.7041307412858209, 1.7414522186595391, 1.572042726882277, 1.69532957967725, 1.6318045094850782, 1.5495704855989512, 1.553402117227484, 1.4970107887525843, 1.410142601252169, 1.4537659958744984, 1.3722449075478247, 1.3343463283735368, 1.3245533660759052, 1.3209347276265444, 1.4219363320018479, 1.2974255992774597, 1.4205817943085708, 1.357411182358323, 1.3683569348839504]","[[], [], [0.23538349113779697, 0.23404401265231956, 0.23980073210692626, 0.24077862230128985, 0.2294663079476941], [0.2271000201495233, 0.224462526571221, 0.22417013114888754, 0.22423011461077857, 0.22747891548316354], [0.20765960745247053, 0.20037630847797977, 0.19795423704572987, 0.2041346651781907, 0.21114526520570132], [0.1988755585260251, 0.2026923829503707, 0.20423371061356646, 0.19809200627197998, 0.19920666012485358], [0.22188184823310625, 0.2181422143060168, 0.2200474445426433, 0.22489926560258552, 0.21880835483563646], [0.20741534076892493, 0.2052830248508072, 0.20483036253987763, 0.20668358811393625, 0.205278400999846], [0.22038947373677603, 0.22320584115694495, 0.21567722633127442, 0.21283026358231846, 0.22385190801853913], [0.21653261025163995, 0.2252384151734962, 0.2250747003789831, 0.2339612424850455, 0.22483684079992117], [0.23972209953005538, 0.24527126113447714, 0.23517987187960376, 0.22839117749276966, 0.2404617168343898], [0.24092220505530593, 0.2317863258724319, 0.23962265872536817, 0.23946933435494747, 0.24139738994332421], [0.25358377251933795, 0.26273554378142305, 0.26406676820053177, 0.25025261879280836, 0.25306421451612], [0.2620105595085325, 0.26602906011092725, 0.2677301449577418, 0.2627878890635906, 0.25725974353233266], [0.2460108220516037, 0.26789645828536807, 0.25843120514085133, 0.2474833091300036, 0.26044106122699995], [0.2540211119756179, 0.24782203502929395, 0.2624041176247373, 0.2515378471253945, 0.25394237661559876], [0.273068830668279, 0.27022265081629954, 0.27941200744482875, 0.27174312034862863, 0.2750393381981777], [0.2748331645132539, 0.2519904404224757, 0.2691692057565858, 0.26779011705011735, 0.2737347113938903], [0.27892618801766095, 0.28140749682301497, 0.27936622559264157, 0.26536479559843734, 0.28190864521572667], [0.2771524011845609, 0.2800542138617264, 0.27199940997209987, 0.27538673785423057, 0.27905174625572376], [0.2804333984920538, 0.27811070256121123, 0.27513596202022367, 0.2816583637501907, 0.2839968992204688]]"
2,Indicators Model,"[None, None, 140938.4199727621, 122273.61397167208, 110605.27249699598, 100746.31569996086, 93229.24845079471, 87045.9233482646, 80994.95288474274, 76649.02216315937, 73247.19453702614, 70334.7912953385, 67631.67938435395, 64956.28324912922, 62663.12235483574, 60877.19573009947, 59153.414764430316, 57830.338584237645, 56013.25222881078, 55063.91021980078, 53447.47876979429]","[None, None, 2.1572639853967703, 1.8369986400325296, 1.7123280006002513, 1.7161646230295529, 1.6403116396005561, 1.5906416248009791, 1.5031290374640744, 1.5043855631998029, 1.5329119371542206, 1.548926112508273, 1.5491670037475747, 1.5307887473217658, 1.581517828031195, 1.5610816255287765, 1.5432687110361725, 1.5804447748948403, 1.5503514397417468, 1.5742336799691719, 1.5621880039899287]","[[], [], [0.16123349527946004, 0.16500882383474072, 0.16642544708982485, 0.169911693527348, 0.16728279963270365], [0.17436479760446366, 0.17845061144797497, 0.17250535506109424, 0.17967439015964964, 0.1797831157831878], [0.17367069055242423, 0.18144303259185632, 0.17406342615594578, 0.17144972960197194, 0.18551439629245242], [0.17948955003237557, 0.17525960069558869, 0.1900581984088625, 0.181496383094198, 0.18678353936283834], [0.19939640131864234, 0.1954100984375238, 0.194318391866228, 0.19467155262370248, 0.1918269511187027], [0.20028680867869503, 0.21366438513470593, 0.2076929157742906, 0.2060241582992675, 0.20605394503474647], [0.22219707843732867, 0.22551802584193445, 0.23378174228342025, 0.22191839539431948, 0.2187069547791886], [0.20458836743441614, 0.22107756786303465, 0.21739003982113916, 0.21573124141276212, 0.21016395215035716], [0.2179705895861757, 0.22769846902255533, 0.22109558064343895, 0.2148065817989009, 0.21799919718706], [0.2157155870543595, 0.2221590378154799, 0.21470608384546305, 0.22114676137339637, 0.22819693256853124], [0.22749524427701068, 0.22679521996799426, 0.22441286326725293, 0.23006953617854664, 0.22226295140493108], [0.23172505146434558, 0.23582504379316674, 0.2173926573641824, 0.224982881957416, 0.22405009968111722], [0.23957265006574, 0.25388198715636995, 0.23978067720616614, 0.24568587320458166, 0.24085950856412178], [0.23946952766469604, 0.231435923178719, 0.24094693594763866, 0.24337405609243354, 0.23946378457811185], [0.2250303393201418, 0.23903823426743595, 0.23998661343402375, 0.23874348195725695, 0.23153054309677312], [0.23113570011852294, 0.23974789283598708, 0.2252192103803684, 0.2396896727041727, 0.2360769978571348], [0.23157011355133386, 0.23323227554626305, 0.23197291432131883, 0.2276490835368021, 0.23790750976664474], [0.2366737454105371, 0.23277365833946567, 0.23797206539219135, 0.23112925669651113, 0.2343756114872973], [0.22922705031722276, 0.23873251886689784, 0.2372129404035428, 0.23851923620147397, 0.2410038275407164]]"
3,Original Reduced Model,"[None, None, 51459.937785086884, 43962.18605985111, 38012.33582062718, 33585.22901517606, 30157.640670371886, 27403.264686350823, 24682.749641360555, 23218.97895310752, 21647.497822851743, 20353.213420157448, 19268.59406760968, 18492.456379203453, 17385.285878294388, 16851.074760350857, 16078.242280820334, 15570.325469366113, 14829.53888732412, 14411.423998023543, 14036.070824772842]","[None, None, 2.014472519647091, 1.6940382729090728, 1.5495561151983894, 1.3932113303456333, 1.3440105566663398, 1.2673347958407581, 1.2161931869993405, 1.2374558980548505, 1.3006187701321454, 1.184116704851042, 1.2159658408582654, 1.2598857307381668, 1.2529315313978804, 1.3113553020368658, 1.2348576396733835, 1.1929532433568728, 1.1909338292828155, 1.2810090966031942, 1.1824503392307606]","[[], [], [0.19583052606671905, 0.19164053480432647, 0.18733897715385076, 0.1897470897834628, 0.1948588958162548], [0.18819360437028643, 0.19751061655790447, 0.18663274784590095, 0.19029801522812648, 0.18590404033799918], [0.19671499552751118, 0.20971274235731432, 0.2074344720516541, 0.20792591827667362, 0.1952140895096475], [0.20615113344644095, 0.21391209065495276, 0.20604015058046965, 0.2182917508857582, 0.2202766452667766], [0.2079697125766997, 0.2146760619274869, 0.21794398261383308, 0.22037262349820697, 0.21915790395886228], [0.23116156200105004, 0.24481500074556278, 0.2211290764301493, 0.22802673401496065, 0.22871254564658688], [0.2509776030252909, 0.23957042017987146, 0.25132997384609546, 0.24601792236124198, 0.23691457196970697], [0.250088539854506, 0.2505018762302581, 0.2437227126073133, 0.25438397295664206, 0.25513067789555777], [0.2459737157577335, 0.24601117621179622, 0.23733315820800635, 0.24234150702846222, 0.25335249666234533], [0.24936537968438588, 0.24943461566898276, 0.25508536960803113, 0.2541308334569138, 0.24747436423565913], [0.2491560239013793, 0.2528041520531326, 0.24838710697839117, 0.25003990006907384, 0.25056440701552], [0.26639251377695156, 0.27696484277169836, 0.2715101783991239, 0.2615818162712783, 0.27367481669203264], [0.27856074366761935, 0.2737626792512647, 0.2744213511548865, 0.2651520568715515, 0.27223903110859804], [0.2822471558873258, 0.29748453963957877, 0.28238788378321, 0.2848320491020514, 0.2825817192028128], [0.29504336535483583, 0.28581549457002553, 0.29285158201307265, 0.2910117863308086, 0.29120040860100677], [0.31284068962003275, 0.3018602698135594, 0.31654891152503856, 0.31089089624937777, 0.3064693183095377], [0.2891727443751208, 0.289637147106954, 0.28540231065925264, 0.2817121396494323, 0.29935064065181566], [0.31285647868968264, 0.30377204380552986, 0.3027246676134439, 0.31900643573914284, 0.2960281817683233], [0.3148220612026245, 0.32172887791239047, 0.3035595757772529, 0.31939272438946287, 0.31214359069638525]]"
4,Augmented Reduced Model,"[None, None, 28946.20946146913, 21091.762428971906, 16247.630554671181, 13604.49705037909, 11199.468667136382, 9164.031673194719, 8010.237216211306, 6712.925360024847, 5969.474806006743, 4878.558087380783, 4115.499403187386, 3447.293880811821, 2843.072737400451, 2272.0249453052197, 1746.4547913764009, 1208.72940053837, 765.7385178189905, 709.4851120687239, 641.2870287071426]","[None, None, 1.411715211095382, 1.1849410231802668, 1.0563059286795544, 0.9652413072645715, 0.9606295023973819, 0.8467684762633072, 0.9335894369785318, 0.8174179100547323, 0.8228079801825313, 0.7574033990367035, 0.692583394495412, 0.6359374087370184, 0.6280330006885074, 0.6034088871012399, 0.47515528291506826, 0.4389850144391633, 0.33221830266664487, 0.32193562747806687, 0.30797390415506615]","[[], [], [0.3207353394444649, 0.3206180204591806, 0.3139216001134151, 0.32022059807190634, 0.3141636394522965], [0.3309080146769811, 0.33633329531259004, 0.3275294745418388, 0.34501211033173224, 0.34024276588861146], [0.36970700453624156, 0.37381948559947337, 0.36887730845077793, 0.3775549670284813, 0.374128772710091], [0.38463103041306923, 0.3843307808769043, 0.39462511501534503, 0.36721862083122364, 0.38458177051384435], [0.40362591116253704, 0.4038933448977368, 0.40833738127676267, 0.40767963124891, 0.4113309184520764], [0.46424895573743613, 0.45947179982302083, 0.47044442260112274, 0.4498569017824238, 0.4633901052213822], [0.47872541057938933, 0.4909225908389815, 0.48829348071750084, 0.4816824341105935, 0.4724483453096784], [0.5429706250063269, 0.5319041606373501, 0.5353728120417088, 0.5423825900878603, 0.5482579337844853], [0.5710785101443987, 0.5669732832640265, 0.534130610390879, 0.5578310248047151, 0.559310882737786], [0.6180266393058051, 0.6005029364825485, 0.5993817158065419, 0.6195440900424083, 0.6167148390146515], [0.673607426127739, 0.6759815962327211, 0.6901931393176465, 0.674564022907409, 0.6525314390589804], [0.7218904956480234, 0.6966635554372906, 0.7083691228900254, 0.710641019429147, 0.6875060041539817], [0.7335376557062968, 0.7246033170214043, 0.7348324506275083, 0.7258076261764643, 0.7424619060987334], [0.7329342676743064, 0.7557008334628268, 0.7259403588881527, 0.7524663149241159, 0.7284882027754691], [0.7916776472386611, 0.7748914125222007, 0.7838726995853932, 0.7762346941823416, 0.7913390047429028], [0.8343949136887531, 0.8188558377232382, 0.8090572683390366, 0.8337425146640668, 0.8150564620777404], [0.8461057090516182, 0.8438734778847758, 0.8572554837781422, 0.8539144541407618, 0.8526713271948556], [0.8664882711578493, 0.8571354452770943, 0.8577497234001835, 0.8570213198006145, 0.8513385219653234], [0.8620772516422228, 0.8556177231738324, 0.8551162225211301, 0.8546506829674977, 0.8685412069781355]]"
5,Indicators Reduced Model,"[None, None, 9387.990701814695, 4285.889367472664, 3151.421706609481, 2349.9142788378836, 1701.1464621229757, 1327.820145792319, 1004.2992005856602, 834.8238152531414, 711.9565179590732, 585.8987921516186, 474.22071069391205, 414.32178537877206, 361.7868410830472, 290.67132977730876, 254.35843724352702, 230.42361317713636, 201.24815871712846, 181.18326021191712, 174.54374978739477]","[None, None, 0.8770515118835044, 0.6109721991765628, 0.7500498439834787, 0.7439783187484832, 0.6818030245950507, 0.6288731881030243, 0.5716953532130551, 0.6255358047978711, 0.5465824180976981, 0.5537000625064262, 0.5402884591254924, 0.5633386400577791, 0.5293271214139769, 0.5276818708196406, 0.5157017559338384, 0.45218071989248915, 0.4790983468622147, 0.4310440353330839, 0.49564037858338966]","[[], [], [0.49464012327472345, 0.5277510775740473, 0.5177953593670132, 0.505413229633385, 0.5135410803229622], [0.61213808071619, 0.5975321187205506, 0.6019569024628677, 0.6102115646254362, 0.6121762369305972], [0.5967845723163394, 0.5968535056583674, 0.6007841135249212, 0.6003688026027431, 0.600340753713464], [0.5733888683299333, 0.58004658320635, 0.577501885331614, 0.577012912872883, 0.5652139912617488], [0.588500836139151, 0.591849282017864, 0.5930819163580773, 0.5735840811291107, 0.5723110278878786], [0.6021925170904099, 0.610289299332863, 0.6116150506883707, 0.596134931019888, 0.5927695546513759], [0.6590369278061712, 0.6583831758004415, 0.6522600672735432, 0.6517186434957964, 0.635958612977596], [0.6553309145238218, 0.6514298414519489, 0.6518608201604518, 0.6497250417273929, 0.6395549679691016], [0.7076229372352586, 0.6966849743710484, 0.7131907473434829, 0.6839567214172844, 0.6831596203355398], [0.7171670393268574, 0.7168033007453372, 0.7146207463016463, 0.7113664410845704, 0.724314306206552], [0.7192751036700092, 0.7142254483310381, 0.7351871503259839, 0.7233715097486961, 0.7173619286300462], [0.7323230853288587, 0.7199731103161631, 0.7325892979612474, 0.7324793739780311, 0.7266122052189662], [0.7455728951236087, 0.7439330717534567, 0.7334599029321505, 0.7364264437185143, 0.7378962835713435], [0.7638545434427005, 0.7676925426867897, 0.7527525860405854, 0.7613989550052351, 0.7489971741099511], [0.7831312017885895, 0.772619439838947, 0.7572886043605538, 0.7636691847491025, 0.7701252663612579], [0.7650671271928906, 0.7749020181979898, 0.7696203273649262, 0.7762989570055016, 0.7764838723878333], [0.7745450888600895, 0.7673302749392681, 0.7899806198254269, 0.7843069904278828, 0.7831630279776074], [0.7794139582046163, 0.7831474130165216, 0.7979965313760665, 0.7775507939032655, 0.7861084170092201], [0.7873730959942504, 0.7752643448932253, 0.7877346562322146, 0.7750366862938224, 0.788096851659421]]"
