,method,silhouette,height,labels,k
0,single,0.5533582071582899,0.7245360197874405,[2 2 1 ... 1 1 1],2
1,complete,0.5533582071582899,1.759384949293634,[1 1 2 ... 2 2 2],2
2,ward,0.5533582071582899,20.69577191466122,[1 1 2 ... 2 2 2],2
3,average,0.5498036283501602,1.1150921718054128,[2 2 3 ... 3 3 1],3
4,weighted,0.5533582071582899,1.1454563632872463,[2 2 1 ... 1 1 1],2
5,centroid,0.5498036283501602,1.0033231858263822,[2 2 3 ... 3 3 1],3
6,median,0.5533582071582899,0.966484888814844,[2 2 1 ... 1 1 1],2
