,method,silhouette,height,labels,k
0,single,0.1017067372062719,2.055782085874433,[1 1 1 ... 1 1 1],2
1,complete,0.16822892566574243,4.106170969159304,[10  7  8 ...  3  7  2],11
2,ward,0.16908174590804825,28.541318193147532,[10  8 11 ...  2  8  1],11
3,average,0.18470192437379315,3.002944748958403,[3 8 4 ... 2 8 1],8
4,weighted,0.17844857932055191,3.2462671638671248,[1 6 3 ... 2 6 9],9
5,centroid,0.07764832314618327,2.8512101141284716,[1 1 1 ... 1 1 1],3
6,median,0.04449653396885366,2.8986301840124113,[1 1 1 ... 1 1 1],2
