,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, 34199.465164142246, 27848.964031823893, 22357.243479769768, 18840.074082898536, 15610.723826224827, 13551.963802378135, 12137.123756948076, 11066.000317126218, 9999.338289845926, 9071.470944793997, 8694.722346326023, 7839.649684069089, 7302.237752377659, 6976.0477373971935, 6801.310276819371, 6331.529588926258, 5998.44593050299, 5763.680495240277, 5611.299440161516]","[None, None, 1.1300362524466867, 1.1015723197912612, 1.2655620458947139, 1.0515097599777645, 1.0209029427120146, 0.9322054471722083, 0.8624351742577433, 0.9510896364997383, 1.0008474558032507, 1.0037496140557751, 1.013860257892028, 0.9498121969522277, 0.9431227284201472, 0.8976567573447088, 0.9725398642963552, 0.9476131420895456, 0.959605175339989, 0.9594102748055906, 0.9556307858854334]","[[], [], [0.42480647451134396, 0.41886195939827325, 0.4338909858276862, 0.4232216785593413, 0.42969780911023786], [0.34140448642784815, 0.3339834434509328, 0.3450022188266475, 0.34673595497395815, 0.3435313661125191], [0.36577747830994634, 0.36964121821318574, 0.36629975921389657, 0.3700761960399312, 0.3751122687423043], [0.427897735239533, 0.4309462704107481, 0.429851922528826, 0.4314699714151158, 0.4467452636024281], [0.4605297934224491, 0.4522933331865916, 0.457351497276194, 0.4563504176207483, 0.45644305241684635], [0.47780281042137607, 0.46400261896878037, 0.46602958015538093, 0.46797889416914606, 0.4700574844031382], [0.4790217496703424, 0.49096342510696017, 0.498335867701066, 0.4874718653817124, 0.4723607910942501], [0.43612211278853275, 0.43000626305713924, 0.43382357858599735, 0.4206724836187811, 0.43209687360927573], [0.44867451509306433, 0.43794785927678515, 0.4368885644559095, 0.453246267723448, 0.44859749310592434], [0.43320869850777616, 0.42106718136758137, 0.4255233769587187, 0.4349738334652862, 0.43096160901932257], [0.4222146372491932, 0.4047689074034946, 0.41061302539418376, 0.403176684407078, 0.4114458967963059], [0.426455470537668, 0.44883288998217613, 0.45645874434654177, 0.45631892775103666, 0.4359669434256438], [0.42998708042781375, 0.4466702107256668, 0.4425404618985172, 0.4316495476714871, 0.4386353880281005], [0.4164675552922432, 0.41488964717548843, 0.42493342860232036, 0.43310963647373846, 0.41385148772097785], [0.42849502145259943, 0.4093610615349733, 0.4223680202861534, 0.39955218266271814, 0.4099998112914441], [0.4085943515428747, 0.41042128758613755, 0.40957279445380845, 0.4102346602034788, 0.41592454895648007], [0.38962288802744716, 0.380659967650659, 0.3908685141415816, 0.39716465663731515, 0.38244711158901135], [0.37536759630818317, 0.3912900059107711, 0.39239574223003737, 0.38184063120456224, 0.38034585843335256], [0.4052999727519174, 0.36927678792428187, 0.37967562020070245, 0.3897079289828507, 0.39502472876005745]]"
1,Augmented Model,"[None, None, 150857.61988725467, 115661.64829082819, 102012.8673395392, 95302.67784231812, 90867.49877460109, 87623.12137301394, 84769.79278217365, 82481.06800590984, 80078.41988956153, 77714.7394945979, 75142.72638309588, 73854.0548300037, 71810.0405774934, 70283.44431119537, 68814.47218999642, 67301.59809073682, 66182.78262229593, 64898.58962353793, 63613.61924485328]","[None, None, 1.5647186666748367, 1.4245004813372057, 1.5509555326457547, 1.6132313614531806, 1.8824877832116724, 1.858480473393883, 2.0083558338487424, 1.9528492866817753, 1.9113823684574924, 1.962955814739273, 1.8946292045547093, 2.0005015338770376, 1.9120956245400775, 1.9937786681122234, 1.9057042293598294, 1.9584736173151123, 1.8850808527302299, 1.8963051765381995, 1.848450700130759]","[[], [], [0.23550485049014094, 0.22146618392543838, 0.24486435385624988, 0.2241539464499959, 0.23011310338938332], [0.29445567128626066, 0.289952126539146, 0.2871907005854945, 0.2899021923012195, 0.2896422448871077], [0.31510456076399046, 0.30587979368643026, 0.3038479371348262, 0.3021969550111148, 0.30121253900895717], [0.28489310709742405, 0.28986537885957225, 0.285257965320159, 0.2961109364535819, 0.29995855027251217], [0.20863673769806984, 0.200934257621314, 0.2005541157146237, 0.1993029200493643, 0.19664730008211875], [0.1827021664006792, 0.190670967517615, 0.19470721205690297, 0.19527162733920897, 0.20511523637763374], [0.18920104110971872, 0.19749208569092996, 0.18492852554497344, 0.19503731728168747, 0.19402272446033983], [0.20247934575519738, 0.1995473210206463, 0.20438966780916543, 0.2188956893575446, 0.20286676857972838], [0.19198722872590543, 0.19067227850999188, 0.17899014607969696, 0.19319868766705595, 0.1925582947854261], [0.19128998507866965, 0.20128798981077267, 0.1868522014601264, 0.19475184303552123, 0.1902646756628705], [0.18199418676994122, 0.20252613269321723, 0.19990553174937664, 0.19264972103770003, 0.19017814120195914], [0.17700935792333394, 0.18366774623874452, 0.17593259906582234, 0.177237992077985, 0.17714729272565752], [0.1775233599001539, 0.1766136587861359, 0.17502020787558478, 0.18129942792700968, 0.1719161845906568], [0.15219643174424544, 0.1475186863011186, 0.14321272521156975, 0.14728997829089938, 0.14055191922745286], [0.18122492144096322, 0.17468716617288305, 0.1803879271996114, 0.1913845395315002, 0.1567649290829578], [0.1499191085753022, 0.13476155436235046, 0.13889893706423248, 0.15074393938492364, 0.14097903160908654], [0.15043863799936383, 0.1500460290112581, 0.14022197842492562, 0.15341503359012176, 0.1469625172218924], [0.14648784082475932, 0.14841371995368785, 0.13977061391654813, 0.14290730382898534, 0.13480974948513938], [0.15073574116730004, 0.14964814698234336, 0.14508222792905057, 0.14145768468925557, 0.14526066314967057]]"
2,Indicators Model,"[None, None, 89941.51234061009, 66776.20753061878, 61107.05729488081, 57353.80502986802, 54184.14986542762, 51652.11787001225, 48960.26496653587, 46591.13423597719, 45427.043429378784, 43246.23678928948, 41777.496038181765, 40820.4581427686, 39767.097634158374, 38739.020148141215, 37898.29854485394, 37036.922545656416, 36140.43181874827, 35583.92257825522, 35068.234481682484]","[None, None, 1.4252908567261944, 1.2775024539587163, 1.5472525155134185, 1.747400634772641, 1.709815914319491, 1.7103863313259426, 1.7895548483875128, 1.748268762041186, 1.8403077706645465, 1.653334886757093, 1.6967131356699134, 1.665386572047504, 1.7217707949195804, 1.6823087166357034, 1.6673322963000037, 1.6658359694877964, 1.6566263529616256, 1.6916353600300134, 1.651779830711264]","[[], [], [0.2745280050924464, 0.2714474885311712, 0.2695634569220121, 0.2781034991136427, 0.27948535441333194], [0.3345729340264324, 0.33551241538465204, 0.3337560696604324, 0.33830314400633993, 0.312891595857222], [0.24822417032064523, 0.2564699800027297, 0.24950729779754044, 0.23983730634705477, 0.2482024279978753], [0.2528661948474639, 0.24009930331897517, 0.24454906704781887, 0.24804439331680944, 0.2455431891442684], [0.22393316882461026, 0.22181469604542564, 0.21874353688898623, 0.2313035231741919, 0.23360961007024014], [0.23407907486244084, 0.2229819055234471, 0.22414355808808842, 0.22536445447134745, 0.22708266722142664], [0.19950937896160956, 0.21049890617033304, 0.21053128522996845, 0.2085404514839974, 0.18703934628923982], [0.22103988463221186, 0.20016048828018604, 0.19943162414573667, 0.20957306917630436, 0.20553332476878933], [0.1617115842834719, 0.16390867980525195, 0.16812202468105322, 0.16403528320334404, 0.16487424024896152], [0.1996020522826901, 0.20274282597593368, 0.19440345414480675, 0.1887093977804978, 0.20139233267153167], [0.17239548127311202, 0.1759620687462151, 0.17158098931348847, 0.1633384870339197, 0.1633777426808292], [0.15759296950505589, 0.16252996579264292, 0.1679944692837531, 0.1645422205373712, 0.16065147775360408], [0.16380566806170435, 0.1700840465621463, 0.1694086002985425, 0.16446118079240585, 0.17072169924319203], [0.16801419786580232, 0.17439208411974005, 0.16827908146382078, 0.16244374507140993, 0.1748398068130177], [0.16605388656260228, 0.15895107063583094, 0.16550566083278606, 0.17093931066160556, 0.16790190844592148], [0.1633128216331236, 0.17075152253526246, 0.1728114126814815, 0.16992738693853365, 0.15669892444375103], [0.17104034792974682, 0.16571848614109086, 0.16116678831575695, 0.16252208567043402, 0.17713627171556354], [0.16460613387180675, 0.15623965774626777, 0.17311948718317957, 0.16830302939954905, 0.17303703853621413], [0.16959584635968575, 0.17294983281842985, 0.16174945924473308, 0.17335830195137483, 0.15885877395861647]]"
3,Original Reduced Model,"[None, None, 7041.130068475304, 5486.834177703157, 4472.210714794928, 3479.5067244173742, 2734.0621788040453, 2366.7102725082254, 2056.568030336695, 1855.6389314356786, 1690.8599787030892, 1551.8810636811256, 1425.2693006012564, 1338.4855818914662, 1253.2661252759917, 1177.9320706196554, 1110.5072184620058, 1045.1006575172144, 984.2870735661327, 933.8404107258918, 892.542802206577]","[None, None, 0.8742746775409889, 0.9537268542189968, 0.9749046587723622, 0.8298950786760584, 0.8444904777594301, 0.7769931265755432, 0.8178534313088428, 0.8516436081240184, 0.8223319848764119, 0.8371781624984316, 0.8762483081020157, 0.8747230722963975, 0.8635094245373943, 0.8975232787395743, 0.8601109063862784, 0.8543074491410275, 0.8430398604918382, 0.8380414120257714, 0.833770818603232]","[[], [], [0.507563577449873, 0.5079026759924432, 0.5043996438219396, 0.5022531484025233, 0.5159582793956837], [0.408421041414245, 0.42203680055549886, 0.400424221730279, 0.39019579147556505, 0.39254087929726894], [0.42924741928745325, 0.43060804942508635, 0.44819043727810265, 0.42302736596423485, 0.428877668250924], [0.4342432980468306, 0.4377395616753105, 0.43421683449177717, 0.45584390245428735, 0.4190512980018297], [0.4498954632257771, 0.4443539925854038, 0.4411973567874544, 0.43371645888666366, 0.43994973541512966], [0.4374699119678707, 0.4376591120169481, 0.43849255202892307, 0.4532527941170913, 0.44540509699624753], [0.42719104408529857, 0.4388913236229007, 0.4312157572589094, 0.43296864609153535, 0.4159467709362967], [0.39377731795691284, 0.39501292942158467, 0.384991038015752, 0.40008665077281264, 0.39498703861706713], [0.38434408659692604, 0.4060897233991205, 0.38866527604824136, 0.3877531842685916, 0.3982450639662426], [0.39217701785337433, 0.39561660114486485, 0.3828009237573241, 0.38838278684205857, 0.3901504935496374], [0.39958899681375376, 0.3776650109663676, 0.3972044180412094, 0.4103781900773649, 0.39446289428248105], [0.38732166692584813, 0.3852125953481893, 0.4049353950646546, 0.383549905539961, 0.38826013007192467], [0.37720527743319565, 0.37936285640366746, 0.37267123029322213, 0.382880107391331, 0.39315987334257246], [0.36659519166386245, 0.3650868968177285, 0.3506825090133816, 0.35819825298116476, 0.35647521198107457], [0.3627804022868247, 0.34991721033702583, 0.3661058026560772, 0.3491160321400379, 0.36218002317994696], [0.37303139617762726, 0.35293651197187015, 0.3549758521245692, 0.3626005743968611, 0.36931988231612656], [0.35655948131390397, 0.3604269844778634, 0.36068403512582525, 0.34598212370286097, 0.34357717397873444], [0.3472251125935299, 0.35424211222995905, 0.3576070596237451, 0.35504627436584874, 0.3400986708388391], [0.3674583965108972, 0.3618845594303802, 0.37183967893379677, 0.362862819466716, 0.35868196260537716]]"
4,Augmented Reduced Model,"[None, None, 11450.54302649419, 9218.295897710557, 7497.707914570787, 6510.079194889593, 5619.365116692534, 4863.708615203555, 4376.082229422236, 4017.4253711047677, 3691.0904680000317, 3427.247878825197, 3199.520667257445, 3006.4132986830537, 2869.0359767857826, 2711.041542478048, 2611.529580151138, 2496.730006285806, 2400.8725751572356, 2330.775916438147, 2222.713591578539]","[None, None, 1.080189839004073, 0.9603659719617276, 1.0600013753110007, 1.0998746936535841, 1.0162589250625347, 1.0442328792060007, 1.0162625977579427, 1.0292515848665629, 1.0028112055332954, 0.9743707603753481, 0.9753448729425593, 0.9975642833654335, 0.9931569263906379, 0.9527055117846643, 0.995316922808652, 1.0099771310340178, 1.044993624252919, 1.0568563082358133, 1.0509532215373958]","[[], [], [0.44164573771010285, 0.4195703529125725, 0.4144661755841795, 0.4235258637784756, 0.420597420521028], [0.4617539937758537, 0.45224531636167536, 0.44836555315007875, 0.45217869916886305, 0.45457935778344755], [0.36452796375311053, 0.3669843316219492, 0.3616815970864056, 0.3399339451636527, 0.3550397948782007], [0.36656999587161837, 0.3796572238544205, 0.36570359458095486, 0.36551977008034453, 0.3625577186259775], [0.37605061769986386, 0.3585455394370596, 0.3570581657113454, 0.37240692678945797, 0.3557915721566047], [0.3534557775407076, 0.3614207203809749, 0.3555478372003529, 0.36913176512568735, 0.3480094422411729], [0.36976349137036035, 0.3713097085430906, 0.3777804381851605, 0.3740067177177456, 0.36657060611624454], [0.3681104007361752, 0.3699711986240271, 0.3712771196405968, 0.3817721165435345, 0.3615323079776037], [0.37560717579848063, 0.3827950305246377, 0.3756387822286023, 0.37137984684392666, 0.38517366238452144], [0.39706881145281, 0.36688431059889276, 0.36008735549715515, 0.3873827764488999, 0.380803402837984], [0.35967340851975255, 0.381187489503743, 0.3777470998585337, 0.3879078267377398, 0.3957910308456616], [0.35930324187337026, 0.37723441040967526, 0.36593162092686016, 0.3710722253756806, 0.3565429120863233], [0.366509147490537, 0.38427911118776825, 0.379686558065555, 0.35323567669824124, 0.38841817164575815], [0.3879293951189671, 0.385783648439599, 0.3973813391201207, 0.3772156416929905, 0.39518726492153705], [0.36974637608479843, 0.3914300327545354, 0.3736496814383901, 0.3805819402816856, 0.3858264012224639], [0.3748734973226333, 0.38156862656481905, 0.39454894060974177, 0.3762964644039715, 0.37636203528070405], [0.3698068789703104, 0.38655298771790353, 0.3687478599805038, 0.3627165540263411, 0.3589740075306446], [0.32847366275704926, 0.3336552339635054, 0.31296019625684923, 0.3349886037630199, 0.32537726653015286], [0.3264078810552218, 0.3325211707321303, 0.3226478072355303, 0.3439005504617821, 0.3214267217322104]]"
5,Indicators Reduced Model,"[None, None, 6867.013161565075, 4022.1132720818828, 2102.741234843298, 1491.1100910793843, 1144.249348387903, 913.0707354897635, 685.6223319058877, 564.2121992431014, 461.8824524095436, 393.87136458840104, 334.3910838640319, 284.5054026822375, 238.3513553778013, 209.8334970185761, 180.5478804989807, 164.80323934717907, 147.17153736229352, 129.59697741140698, 119.44793288382621]","[None, None, 0.4475763803725532, 0.6149395156553497, 0.588865416868762, 0.590969628900895, 0.5706979011946551, 0.5358886866201171, 0.5131599126008219, 0.5239798253951199, 0.494188378704228, 0.521223438466854, 0.5506586757889259, 0.47006509633718474, 0.48190567609501284, 0.501157024227375, 0.4988907966232419, 0.497839285667985, 0.4992822245964438, 0.484666229645077, 0.4806020624929861]","[[], [], [0.6642481413853664, 0.64485787482516, 0.6550212368301754, 0.6551293987830468, 0.6622701866965061], [0.7011748521124876, 0.6929442690184628, 0.6948622228628774, 0.689262477362859, 0.6637558998997191], [0.7320716638471539, 0.7694404701405949, 0.7343403223122839, 0.7459090331389371, 0.7182706994195164], [0.7692770517420245, 0.7468564385080927, 0.7592768075943751, 0.7492014770547288, 0.7502827463814601], [0.7210511095914423, 0.7348173965492029, 0.7107101157134316, 0.7415555907476933, 0.740613029437947], [0.7015386859159334, 0.6962423745173869, 0.6974403451474666, 0.6920035530042492, 0.7288177134753587], [0.6827624078354598, 0.7082843950727493, 0.6922119982284791, 0.7028398929436139, 0.7075181708097803], [0.6583606214300851, 0.6601603852571042, 0.6682397986281913, 0.6874610407453781, 0.6638587589813324], [0.6727418860050305, 0.6859465081843321, 0.6746398178696718, 0.659332558374133, 0.6612946260879574], [0.6379298900379208, 0.6498521554805703, 0.6643659262165283, 0.6526365498681387, 0.6555138128869312], [0.6048600797187209, 0.5959294438475456, 0.6051702922474936, 0.6004989220138489, 0.6053934007013219], [0.6629469813356433, 0.6756778300526087, 0.6492415275289131, 0.6471541336367518, 0.6486982839186641], [0.6545346792079942, 0.6419321285609293, 0.6438837402298853, 0.6400089152907049, 0.6638078673996338], [0.60757318915135, 0.6239113391688739, 0.6192104674858129, 0.6147635313132264, 0.6093077254191721], [0.6009025089495412, 0.631790534542471, 0.6089016655194555, 0.6191921261850614, 0.6187597755742945], [0.6225167184306025, 0.5936970523778589, 0.6086340250114968, 0.6144746822417558, 0.6128036095081054], [0.6191899491811443, 0.6238341692364779, 0.6071317435516418, 0.6015940500792635, 0.593778509350557], [0.6327997547201135, 0.5954911599331413, 0.6224939959186472, 0.6235874801688824, 0.6216815817510047], [0.5927898026224309, 0.595836223618326, 0.5900607437166447, 0.5904472847889881, 0.6016668385373127]]"
