,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, 135345.50452848268, 127372.13107876726, 121358.99103087133]","[None, None, 3.3397218538716054, 3.0652026781502335, 2.793658639829543]","[[], [], [0.0792908299569468, 0.08052618853594136, 0.07913718815800588], [0.07264372117631976, 0.07173361855981202, 0.07125196338485125], [0.07513807986053582, 0.07578757222973452, 0.07463069361760795]]"
1,Augmented Model,"[None, None, 362594.874609958, 336115.5489192067, 318548.1695823995]","[None, None, 2.9491340481719575, 2.654720941279964, 2.4273786313785495]","[[], [], [0.09768930353387575, 0.09542408537381698, 0.09752387528502551], [0.09360618364067587, 0.09293297173874356, 0.09362738378570766], [0.09115016553686774, 0.091682853093063, 0.09235298317679157]]"
2,Indicators Model,"[None, None, None, None, None, None, None, 172870.1879965381, 167346.16862076713, 162593.0833654872, 158768.26783378702, 155325.59712427057]","[None, None, None, None, None, None, None, 2.2184846454507023, 2.255492223919255, 2.274093674627471, 2.346396373049891, 2.342920779135521]","[[], [], [], [], [], [], [], [0.11218043974908198, 0.11150832369929403, 0.11224694641295642], [0.11278134151546743, 0.11316712185424126, 0.11601149763454441], [0.11986549016883041, 0.11985432255771329, 0.12069654906234686], [0.10997736747027002, 0.1103396817049294, 0.1130314712895961], [0.11706202049855315, 0.11417015455642501, 0.11663752020298239]]"
3,Original Reduced Model,"[None, None, 135374.60780851232, 127506.95787281531, 121397.80500395158]","[None, None, 3.343939349868237, 3.0793001189899996, 2.7866037809641386]","[[], [], [0.07914231013794147, 0.07873838611584205, 0.0813549275630314], [0.07089072961162142, 0.07030770334801548, 0.07045100021875783], [0.0755935963615286, 0.077136853944788, 0.07666915907130513]]"
4,Augmented Reduced Model,"[None, None, 182799.45907271875, 174930.57377033334, 168895.50273387256]","[None, None, 3.8398145096732113, 3.568387604478483, 3.2736541855792645]","[[], [], [0.060538962822454696, 0.06104621350855396, 0.0617253932540967], [0.051786265807426096, 0.05303172042058884, 0.055226101353142404], [0.055458844629351314, 0.05621093310321828, 0.05498686178749513]]"
5,Indicators Reduced Model,"[None, None, 51037.39652737016, 45935.63131933033, 43197.07158459222]","[None, None, 2.377559694111581, 2.1242987798176265, 2.139578806949536]","[[], [], [0.15259050973965482, 0.1510781306189203, 0.15224742809626182], [0.14787628406193504, 0.15076344959988125, 0.1511713223337788], [0.1105069161416368, 0.11396483718643376, 0.11214539602085381]]"
