,labels,silhouette,height,dataset
0,[3 3 2 ... 2 2 1],0.5129911611345482,0.8617328329690471,Original
1,[5 5 6 ... 2 2 3],0.32929177534618864,2.0789142287244333,Augmented
2,[2 2 2 ... 1 1 1],0.3980628225883653,2.870544195401663,Indicators
3,[2 2 1 ... 1 1 1],0.6702663861363999,0.6186492208119242,Original Reduced
4,[2 2 3 ... 3 3 1],0.5498036283501602,1.0033231858263822,Augmented Reduced
5,[1 1 3 ... 4 4 6],0.44180764180408005,0.8623496793978852,Indicators Reduced
6,[1 1 1 ... 1 1 1],0.11118941112322153,1.4595343195475339,Random Original
7,[1 1 1 ... 1 1 1],0.07764832314618327,2.8512101141284716,Random Augmented
8,[1 1 1 ... 1 1 1],0.13395353829321255,2.6790867866463066,Random Indicators
9,[1 1 1 ... 1 1 1],0.11118941112322153,1.4595343195475339,Random Original Reduced
10,[1 1 1 ... 1 1 1],0.13712551138870957,2.048371349587804,Random Augmented Reduced
11,[1 1 1 ... 1 1 1],0.11719901926439584,1.8048055361341446,Random Indicators Reduced
