,method,silhouette,height,labels,k
0,single,0.2744193109799903,0.6597080436118885,[3 1 4 ... 6 1 7],8
1,complete,0.23266716296033418,2.118150118602523,[5 3 7 ... 8 6 2],9
2,ward,0.2744193109799903,12.662119180960257,[4 2 3 ... 7 2 5],8
3,average,0.2744193109799903,1.4109023462874282,[1 3 2 ... 8 3 7],8
4,weighted,0.2743042381005021,1.5531299446548883,[2 4 1 ... 7 4 5],8
5,centroid,0.11118941112322153,1.4595343195475339,[1 1 1 ... 1 1 1],2
6,median,0.10411085426287417,1.6644602748985418,[1 1 1 ... 1 1 1],2
