,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, None, None, None, None, 15610.723826224827, 13551.963802378135, 12137.123756948076, 11066.000317126218, 9999.338289845926]","[None, None, None, None, None, None, 1.0209029427120146, 0.9322054471722083, 0.8624351742577433, 0.9510896364997383, 1.0008474558032507]","[[], [], [], [], [], [], [0.45837179915545023, 0.45353258742517044, 0.45124871004278383], [0.46701572276617387, 0.46659473748008423, 0.47264836594045134], [0.48503028431851164, 0.4821593988653692, 0.4848966768353528], [0.42563225381162995, 0.42796763943390104, 0.42746956598675134], [0.4406494040768946, 0.44372977304518224, 0.43854519355315025]]"
1,Augmented Model,"[None, None, 150857.61988725467, 115661.64829082819, 102012.8673395392, 95302.67784231812, 90867.49877460109]","[None, None, 1.5647186666748367, 1.4245004813372057, 1.5509555326457547, 1.6132313614531806, 1.8824877832116724]","[[], [], [0.2328763273688458, 0.23531773423197916, 0.23277231144659985], [0.2903626116972235, 0.29337424708790816, 0.295261348089529], [0.3008112635274491, 0.2980945169863775, 0.3042598816922454], [0.2876572190985612, 0.28790673133055744, 0.2927998135117182], [0.20121245774005653, 0.20234800721408944, 0.19892542445465652]]"
2,Indicators Model,"[None, None, 89941.51234061009, 66776.20753061878, 61107.05729488081, 57353.80502986802]","[None, None, 1.4252908567261944, 1.2775024539587163, 1.5472525155134185, 1.747400634772641]","[[], [], [0.27432690047052066, 0.2674508660042221, 0.2747171077568788], [0.32596261547303823, 0.33935697079297317, 0.3331526178414101], [0.24985639394753684, 0.25285598541301185, 0.24778294264815287], [0.2442702582405539, 0.2387029199538172, 0.24386145207574036]]"
3,Original Reduced Model,"[None, None, 7041.130068475304, 5486.834177703157, 4472.210714794928]","[None, None, 0.8742746775409889, 0.9537268542189968, 0.9749046587723622]","[[], [], [0.5062811170085046, 0.5053506204944911, 0.507339096276106], [0.4030013880367126, 0.4039453461894227, 0.3986475446581347], [0.43524663629898913, 0.4340951989259718, 0.42217815636766737]]"
4,Augmented Reduced Model,"[None, None, 11450.54302649419, 9218.295897710557, 7497.707914570787, 6510.079194889593]","[None, None, 1.080189839004073, 0.9603659719617276, 1.0600013753110007, 1.0998746936535841]","[[], [], [0.42903143717994235, 0.4275829484594062, 0.4267246793344508], [0.45098547360885594, 0.446727895145155, 0.4577712660104874], [0.35424110433000594, 0.35366902765578745, 0.34647635680873656], [0.36650340042531115, 0.368424052604439, 0.37321312451703537]]"
5,Indicators Reduced Model,"[None, None, None, 4022.1132720818828, 2102.741234843298, 1491.1100910793843, 1144.249348387903, 913.0707354897635]","[None, None, None, 0.6149395156553497, 0.588865416868762, 0.590969628900895, 0.5706979011946551, 0.5358886866201171]","[[], [], [], [0.6862091184998997, 0.6729552431379735, 0.6911687418434325], [0.7415705697064424, 0.7410180674862084, 0.7458922401704766], [0.7538092373067963, 0.7486089258124782, 0.7521976815651901], [0.7362011755186212, 0.7375375430460704, 0.7321756842522563], [0.7209805564199261, 0.7128931711045903, 0.7181560011246695]]"
