,method,silhouette,height,labels,k
0,single,0.13712551138870957,1.5524272232662468,[1 1 1 ... 1 1 1],2
1,complete,0.07130054036159926,3.247007825051332,[4 5 5 ... 1 5 4],5
2,ward,0.1025646102391764,15.498884382894124,[11  8 10 ...  4  9  1],11
3,average,0.114843262811713,2.542977965040231,[1 1 1 ... 1 1 1],2
4,weighted,0.09695244044768266,2.5302845592914633,[2 1 1 ... 1 1 2],2
5,centroid,0.13712551138870957,2.048371349587804,[1 1 1 ... 1 1 1],2
6,median,-0.02067844524339885,2.1148834489446826,[2 2 2 ... 2 2 2],5
