,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, 135345.50452848268, 127372.13107876726, 121358.99103087133, 116877.25641192906, 113306.39908186762, 110234.77162646847, 107673.24162005985, 105218.55992319946, 102963.38804709274, 100608.00923663951, 98633.09709136473, 97251.78151156803, 96101.36106747585, 94959.26137493682, 93841.24485027487, 92778.80873743698, 91625.04247433733, 90654.18199047777, 89680.78485087695]","[None, None, 3.3397218538716054, 3.0652026781502335, 2.793658639829543, 2.567207780537786, 2.4535912378109512, 2.334697715019932, 2.376667996689105, 2.337658957702081, 2.228795525908306, 2.127149072548807, 2.1290999486842055, 2.199468196332331, 2.23907113692534, 2.225925301100269, 2.1999658767743173, 2.2847082017892024, 2.2671337107649463, 2.2514151673014062, 2.1610484245665127]","[[], [], [0.0841434622906595, 0.08325749384393501, 0.07795877624653803, 0.07949378025071308, 0.07733009531199395], [0.07159387253110748, 0.07290992035733518, 0.06837886453865022, 0.07075417895886973, 0.06975203531565435], [0.07782469521002351, 0.07860806958218103, 0.07569324395867139, 0.07159021748859619, 0.07226176705362043], [0.075980130093972, 0.07122553541922948, 0.0700829853942236, 0.07598434180948895, 0.07344547791436716], [0.07261422030515229, 0.07084569558427242, 0.06600336630317984, 0.07160055523827193, 0.07369414479711017], [0.0757851522897341, 0.06835651467562857, 0.07226149359787755, 0.07422366854350036, 0.06860578905200447], [0.07314238126857754, 0.06797305983272126, 0.06824633628111904, 0.06698706792433395, 0.06603248728243741], [0.07091226734552944, 0.06950917521641918, 0.06603208300775765, 0.06643676547322522, 0.07446238257861991], [0.068881147211076, 0.06993302733590005, 0.07169564699456624, 0.0675729233759051, 0.0661239232060454], [0.07201268028667226, 0.07022593970727196, 0.06587763783555244, 0.06956652934558959, 0.07145381322883974], [0.07219266160083529, 0.07220233196522097, 0.07168527772753575, 0.07271646161798759, 0.07060285858297412], [0.07345318158717366, 0.0709588093983283, 0.07267186088482146, 0.0692400313105677, 0.06884089392144956], [0.0697890388904848, 0.06354951619790314, 0.06926126802875412, 0.0656896309579849, 0.06680813046849031], [0.07078014384850653, 0.07103140986362609, 0.065606917784262, 0.0752722147181192, 0.06860475910448392], [0.06680593340479025, 0.06934096464315324, 0.06696651361445032, 0.06606551075569778, 0.06814465227006253], [0.06246303582812993, 0.06283567635866295, 0.06440404252608159, 0.06885817213459347, 0.0628096125931698], [0.06634186649793378, 0.06500954683748038, 0.07012313374421135, 0.06565630739978903, 0.06691549731362535], [0.06328050486597389, 0.06687697878287041, 0.06563083646427688, 0.06530251421741537, 0.06306357329900641], [0.05985374149713496, 0.06357648149566238, 0.06474989316891223, 0.061989825123337415, 0.06311448264058434]]"
1,Augmented Model,"[None, None, 362594.874609958, 336115.5489192067, 318548.1695823995, 305774.0509376322, 296667.12983313506, 287994.29175985395, 279418.764379287, 273750.23699475854, 269518.231800088, 265600.1207279284, 262268.0998968762, 258055.71229667793, 255087.19607726275, 253027.0920818003, 249815.09134088582, 248058.076905548, 245534.9059556533, 244182.63905144567, 242336.68686517183]","[None, None, 2.9491340481719575, 2.654720941279964, 2.4273786313785495, 2.6638162411392203, 2.6623224003017785, 2.6475853760253356, 2.537376695589665, 2.5145531267971526, 2.611232924226697, 2.623936815007327, 2.7199814347327913, 2.731460104975471, 2.766828301819698, 2.7349153250791516, 2.683055446385504, 2.7734474136584013, 2.7596911207027492, 2.8062018630810557, 2.8117591337488963]","[[], [], [0.09887302409420021, 0.09359044161136597, 0.09548782295751769, 0.09547757534858914, 0.09747393017994035], [0.0936602996317007, 0.08982624499789621, 0.09394076488934362, 0.09378790420440367, 0.09770388043004301], [0.08798278847478792, 0.09066948870587925, 0.09377587959373174, 0.09122632140335066, 0.09154861937843436], [0.09341547979325378, 0.09169880332993395, 0.09118683450409226, 0.09097095944714292, 0.09491167010351222], [0.08392558628139156, 0.08298088526002186, 0.08532002957480384, 0.08694554439146467, 0.08769248803345207], [0.08599123671789877, 0.08333875842589102, 0.08744919442632891, 0.08783795109039548, 0.08754592583920964], [0.09942696889599131, 0.09255232394919546, 0.0942654694641916, 0.09435145033901812, 0.09767468639493516], [0.0920092696298102, 0.09381853170418003, 0.09705326335691088, 0.09257603697743931, 0.08798799717116115], [0.08745711521524008, 0.08785848124316406, 0.08804669434720558, 0.08600528362752628, 0.08775168237644573], [0.08553230402658521, 0.0879447395535095, 0.08383152800272735, 0.08797406800561225, 0.0821373201518008], [0.08276414230971284, 0.08500842056299945, 0.0869333746239148, 0.08343268184864736, 0.08409622475238776], [0.0907939225613998, 0.090403993104013, 0.08611053079178253, 0.08695388968709361, 0.0878965983661602], [0.09272792233300887, 0.08705390416540754, 0.08863144793545863, 0.08752403906094992, 0.08881557258704473], [0.07801405085430944, 0.07989287311338726, 0.07585580764506017, 0.07405161384031109, 0.0737296897490397], [0.07780710903654924, 0.0798848464888072, 0.08110432456510862, 0.08208871440436971, 0.08241189973357325], [0.08468888654662714, 0.08110991908520128, 0.08091136426034452, 0.08177137075583078, 0.07940583160311332], [0.08218176274575788, 0.07714630524984932, 0.08337652511028494, 0.0761434349654455, 0.08448262601519803], [0.0778272117034411, 0.0748093138061596, 0.07692879880785307, 0.07670843982406937, 0.07866291553308559], [0.07455180842207673, 0.07205253020727141, 0.0739055794369263, 0.0759841715339347, 0.07567752606043268]]"
2,Indicators Model,"[None, None, 226044.77816866568, 207421.10847160863, 195728.65110050916, 185849.51828669108, 178175.9705889243, 172870.1879965381, 167346.16862076713, 162593.0833654872, 158768.26783378702, 155325.59712427057, 151969.96525626094, 150357.4624923381, 147757.05818282906, 146106.04312237905, 144508.12971952633, 143010.3674668002, 141344.91174802193, 140071.7633986888, 138833.05878172407]","[None, None, 2.7469961131737395, 2.421547609845256, 2.416292658651523, 2.3576170140381008, 2.2680094486118083, 2.2184846454507023, 2.255492223919255, 2.274093674627471, 2.346396373049891, 2.342920779135521, 2.2914166837360317, 2.299540017283734, 2.3932563708902825, 2.322084526547983, 2.344111641205616, 2.405208794159043, 2.463261692056201, 2.573861617951149, 2.6081014377675387]","[[], [], [0.11573712939753221, 0.10960152360853642, 0.11493254051250273, 0.11465527092284662, 0.11580290903023313], [0.11433916965792061, 0.10965894992452133, 0.10360573751027868, 0.1104526416410309, 0.10476755269851269], [0.11142644651768473, 0.10891247521293793, 0.10333568393094839, 0.10853748476234265, 0.10150614276377518], [0.10771122774489157, 0.10477871414212302, 0.10432715587106739, 0.10137775400080642, 0.10608336791641952], [0.11260384546232138, 0.10626113069857522, 0.10974717028622379, 0.11417619043308784, 0.11047996789854948], [0.10941369570447165, 0.11123022225639057, 0.10313673732415811, 0.10779555756699948, 0.11111263410160743], [0.11646002803984475, 0.12021903861063207, 0.11242324580040254, 0.113540241469167, 0.11392794814210908], [0.11903256204440828, 0.12333804147336239, 0.12024638469168508, 0.1196029289622455, 0.12300076199594477], [0.1142709514983776, 0.11312139348459754, 0.10449303890201514, 0.11418250372941792, 0.11293614801031163], [0.11569736966559051, 0.11221147747803355, 0.11734801903484923, 0.11487794711092927, 0.11592799198294543], [0.1222164030003375, 0.11617496925671483, 0.12107587534246686, 0.12052995417084524, 0.11980112227874076], [0.11473842947855452, 0.11519606225481283, 0.11179940654181686, 0.11013975224674845, 0.11202805594858532], [0.11547833080793432, 0.12289194583296754, 0.11439104288046935, 0.11893747948817072, 0.12345456448304876], [0.11733238253672795, 0.10978995161115356, 0.10534017264134661, 0.11341953897805097, 0.10691912148185975], [0.10249287757104089, 0.10685236438876979, 0.1139181449688802, 0.10918033786985944, 0.11273949829731894], [0.10575552721225569, 0.10661084206259944, 0.11629994311480199, 0.10735185667890142, 0.11125694663669623], [0.11201635056553028, 0.10774043900879535, 0.11463273050823602, 0.10645458248474972, 0.11163782839909556], [0.09553935155067694, 0.0942461665888407, 0.09870086331601347, 0.10138465849500428, 0.09329035228890602], [0.09511715594641316, 0.09492772572907247, 0.0948609315034035, 0.09685968790681881, 0.09412164226121417]]"
3,Original Reduced Model,"[None, None, 135374.60780851232, 127506.95787281531, 121397.80500395158, 116883.82891739649, 113507.28503342406, 110174.41986331133, 107545.4141204509, 105228.3608098237, 102947.31006480909, 100593.98898239071, 98744.14897919931, 97291.6727353189, 96064.60576755335, 94942.97486061216, 93832.4705335164, 92620.68520107359, 91581.64792657166, 90685.06122830466, 89572.0502316176]","[None, None, 3.343939349868237, 3.0793001189899996, 2.7866037809641386, 2.569189962710868, 2.4413497897730934, 2.3828899542031037, 2.324428906389265, 2.345560939386995, 2.2965191653062758, 2.172722487312244, 2.115011727556522, 2.1841099804557134, 2.2232501851367483, 2.2500292690979244, 2.2412231088433625, 2.223676812624953, 2.181707777630348, 2.207035844831824, 2.173743255547931]","[[], [], [0.07985287870321363, 0.08025198298249782, 0.07896399215073871, 0.0787093260366898, 0.08329926568561666], [0.07002509146394979, 0.06879677583220915, 0.07107746697217705, 0.07018093833177644, 0.07073604223248552], [0.07600725469480012, 0.07247689314163841, 0.07214245988784998, 0.07521312066729285, 0.07575359587370327], [0.0714020975941622, 0.07046552858389102, 0.06936582608674491, 0.07418649230482853, 0.0722101568440114], [0.06693469868813776, 0.0672062682630921, 0.07102649921436045, 0.07202880346693603, 0.07172418931212075], [0.06910716792125327, 0.07061839660158144, 0.07023822628868333, 0.06963903401792115, 0.06948574843565304], [0.07125222158699865, 0.06989295079073606, 0.0687270700794392, 0.06705045471952924, 0.07063505198514926], [0.07169431340573573, 0.07121278979133515, 0.06722543761998614, 0.06982912376599708, 0.06998717514939293], [0.06589937092178082, 0.06965158219779206, 0.06859521432036393, 0.06998683294023005, 0.07033457829875726], [0.06832315396065874, 0.07284942131264861, 0.07303920091305786, 0.0684175710803776, 0.07308979265155795], [0.0692714046680447, 0.06791451697389189, 0.06946383559415555, 0.07179433756815604, 0.07335887239604125], [0.06725004037263534, 0.0685978003271396, 0.0707374502271455, 0.06719143731623742, 0.07075278031972289], [0.061972538944555934, 0.07105995236433603, 0.06093712699659207, 0.06780353636587719, 0.06989712520428805], [0.06783321826172879, 0.0677146708306848, 0.06715410782849462, 0.06378926275066603, 0.06978214744470554], [0.06377358502230933, 0.06829889595463758, 0.06826391444787441, 0.06699275262969331, 0.06863392214642028], [0.0708572851308028, 0.0667394846665486, 0.06342140161726219, 0.07066624957870914, 0.0653838490928665], [0.06758299634680473, 0.06841264257671176, 0.07005145499081233, 0.06795720909422581, 0.06261819112126686], [0.07172379698184474, 0.0667330427991692, 0.06417345492263381, 0.06334152506197017, 0.06473535520802914], [0.06333183241777492, 0.06851669312573973, 0.06190873820201603, 0.07013167226010972, 0.06915297557284081]]"
4,Augmented Reduced Model,"[None, None, 182799.45907271875, 174930.57377033334, 168895.50273387256, 164631.991332223, 160991.82588663735, 157871.48570590367, 155289.77645272537, 152682.36628381367, 150554.0195329085, 148203.84273707733, 146013.8493267043, 144826.18142370056, 143522.4148916538, 142317.65849633262, 141233.08073300004, 140214.43214752997, 139143.1854574873, 138100.90337428788, 137034.48851096706]","[None, None, 3.8398145096732113, 3.568387604478483, 3.2736541855792645, 3.055882482535695, 2.8956664965876673, 2.814323091622158, 2.8299739596970452, 2.8314331433308, 2.7109293616831467, 2.5977385219140485, 2.4891076810478023, 2.660741218063369, 2.689405249214816, 2.700932121899356, 2.7345758571266408, 2.7501821341950192, 2.763599358103862, 2.7101713539928576, 2.6454767811963356]","[[], [], [0.06042385417630287, 0.060872988778448996, 0.060414390774159346, 0.05519607012133935, 0.06230514416158632], [0.053329140794994456, 0.053151722234073766, 0.05382631956923021, 0.0533301531850227, 0.0551314791197002], [0.05678460934523929, 0.05564028728989335, 0.05537542239492375, 0.06022325958100422, 0.05298509269748551], [0.05081614314406128, 0.0531642614432029, 0.052575646080842274, 0.048133232890973605, 0.04998405918397031], [0.048252551810037056, 0.050463357868146264, 0.05007439911190492, 0.050698205830091964, 0.05046155654608178], [0.051363485418614546, 0.047811058298064, 0.04823281337085089, 0.051068579260425406, 0.04842453224758935], [0.04874606339385802, 0.04833736996618732, 0.046988475675325735, 0.04615844797560866, 0.05071546104568664], [0.04820776330815806, 0.048671375885581576, 0.050423217092567835, 0.0509326886856458, 0.044177044369059996], [0.04749066889139961, 0.05176412853766989, 0.049923504625154595, 0.04983504188478681, 0.04774025760977083], [0.05102977383822902, 0.04713581227657472, 0.047709008393605014, 0.050308393843212534, 0.048997344977123075], [0.05139872778444035, 0.04762068161028809, 0.04996023963998825, 0.052520716987862585, 0.05185653884138493], [0.050692331625175405, 0.04639456934805757, 0.049204302096784454, 0.047817031648536235, 0.05110239346468248], [0.04808981615059666, 0.046015446288379766, 0.04745192252646976, 0.04542326655593749, 0.044789722343872615], [0.04592342459641444, 0.04552500813559864, 0.04348702796039962, 0.045229985432077256, 0.05050484995759037], [0.046683053937671776, 0.04471038466975723, 0.046887542149195015, 0.04252460053649318, 0.041913915169955684], [0.04516884907137589, 0.046427068758462225, 0.045392600761845064, 0.04373294910660336, 0.04260562782044607], [0.044592554111374125, 0.04452763036345714, 0.04436178878005084, 0.04253023142229139, 0.044900235541499474], [0.04399395910066039, 0.04644826195998117, 0.04259248171554876, 0.04198704997424445, 0.04066999600976601], [0.043557103731875574, 0.04332018324326573, 0.04356593442942204, 0.04230150995006485, 0.042040959180937164]]"
5,Indicators Reduced Model,"[None, None, 51037.39652737016, 45935.63131933033, 43197.07158459222, 41435.81326507365, 39784.1613756862, 38557.06261083034, 37829.57379664236, 36776.323063510165, 35599.345186117054, 35062.25586402578, 34503.22750111689, 33866.390396918236, 33352.59739842975, 32679.136913802082, 31981.054044522334, 31640.14035985104, 31252.940371254153, 30873.484935165056, 30664.494058945806]","[None, None, 2.377559694111581, 2.1242987798176265, 2.139578806949536, 2.038518238107953, 2.2965411637606663, 2.2567192851773514, 2.3464635843939856, 2.269795973959214, 2.0739945158813624, 2.16299884549663, 2.1717925530166293, 2.157241875774204, 2.2041483054488507, 2.3377549001155633, 2.086944748734818, 2.1543343973404805, 2.094957884574924, 2.1370778308291762, 2.194922711621507]","[[], [], [0.1521594333960821, 0.15116395452484402, 0.14772876826116885, 0.15479022965981984, 0.1503610072327414], [0.14928525851528968, 0.14693369635020515, 0.1476096149746723, 0.15202094390629922, 0.15481304810096214], [0.1139877290284835, 0.11262172892068714, 0.11295059670119303, 0.11458551850914565, 0.1146154147325026], [0.10792281010081053, 0.11530256658197863, 0.10634316420968809, 0.10499106886874503, 0.1104504200388663], [0.10849011654516784, 0.1110957864852785, 0.1046643929770022, 0.10368588312809046, 0.10424263963022855], [0.09240410934649622, 0.09025573360492313, 0.09689283891390793, 0.09729037136837058, 0.09891179737448359], [0.09183374707960411, 0.09887253138006437, 0.09251986607954224, 0.09250794841528545, 0.08944532035808497], [0.09423665990525394, 0.08350702090324776, 0.09458873419577689, 0.09236345318155187, 0.08605491377874344], [0.09483997687328531, 0.09361255785340569, 0.09079989823583215, 0.09938844688166712, 0.09905856288424586], [0.09652172421552137, 0.09620738406482232, 0.09612332939006502, 0.1004174652378988, 0.09634328291458803], [0.07973758077320758, 0.08174039533193848, 0.08438680176238893, 0.08569944722782949, 0.08235941772952508], [0.08502475390861318, 0.08338538054425432, 0.08078301651149777, 0.0825725466409456, 0.09005300448364537], [0.08218351446732974, 0.08439178628367941, 0.0720698854678007, 0.08453188671765455, 0.08867815609949309], [0.08503574549050749, 0.07632996277021184, 0.0716014790573831, 0.08637372000197871, 0.08359731860409307], [0.08728183022536108, 0.08266851290722395, 0.0826952376729636, 0.08263151026761165, 0.07681172593542808], [0.07925421718648554, 0.0805363130155283, 0.07703859286166434, 0.08588834261669454, 0.0814761273996811], [0.07431003896152638, 0.07977010574097891, 0.0773578088718505, 0.07625427691285083, 0.0805949719847368], [0.0780307117934193, 0.07367821734623216, 0.07279829076168345, 0.07978419884511746, 0.0788691352160127], [0.07954992031488074, 0.07837286617809833, 0.07577311340482101, 0.07343484347713505, 0.07502779853703748]]"
