,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, None, None, None, None, None, None, 12137.123756948076]","[None, None, None, None, None, None, None, None, 0.8624351742577433]","[[], [], [], [], [], [], [], [], [0.47952224615941613, 0.48507434088330276, 0.4818190549904893]]"
1,Augmented Model,"[None, None, None, None, 102012.8673395392]","[None, None, None, None, 1.5509555326457547]","[[], [], [], [], [0.29901115986008237, 0.3014134466698118, 0.3026688398136869]]"
2,Indicators Model,"[None, None, None, 66776.20753061878]","[None, None, None, 1.2775024539587163]","[[], [], [], [0.33522822434619237, 0.3313119538496232, 0.33660474749216307]]"
3,Original Reduced Model,"[None, None, 7041.130068475304]","[None, None, 0.8742746775409889]","[[], [], [0.5070267813921986, 0.5057445098007216, 0.5034914549445731]]"
4,Augmented Reduced Model,"[None, None, None, 9218.295897710557]","[None, None, None, 0.9603659719617276]","[[], [], [], [0.44916250143294445, 0.44842538693469985, 0.4462227832065614]]"
5,Indicators Reduced Model,"[None, None, None, None, None, 1491.1100910793843]","[None, None, None, None, None, 0.590969628900895]","[[], [], [], [], [], [0.7559034718617438, 0.7583895021067137, 0.7559525005636898]]"
