,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, 49250.535025302175, 42844.91795697921, 37367.44147582458, 34137.67755934595, 30574.172823445813, 28871.90547748246, 27167.148216260026, 25533.879089221824, 24114.56157413372, 23159.072609271057, 22070.02144661374, 21255.71441081086, 20605.276761554604, 19876.696278725885, 19401.757574065854, 18840.6796710059, 18214.253483326043, 17739.457676522117, 17367.7159270561]","[None, None, 1.3558916275942767, 1.4920086847130627, 1.6820971106983595, 1.4754658608503917, 1.455736476180238, 1.5276723588258285, 1.382438223068005, 1.4868993998830864, 1.4641799038570533, 1.5529701592624363, 1.531126606213374, 1.494728753442502, 1.537113946530008, 1.3961777969613498, 1.5427590647817881, 1.4075444223142615, 1.4662690680038903, 1.4408917644222081, 1.4108396175635092]","[[], [], [0.34764027737866116, 0.3397433660968896, 0.35642024695531693, 0.3460359909457792, 0.35376851409336535], [0.23788458692026707, 0.24244260591024916, 0.2320115500706084, 0.24673687177716824, 0.24287792234486216], [0.2444263805339687, 0.2407277860962351, 0.24790201189482974, 0.24894323062973348, 0.242057508803596], [0.27802882833253556, 0.2722791023800817, 0.2815321247716917, 0.2833704239176436, 0.2759857530957336], [0.2936821408004987, 0.2957479378613632, 0.2945565053333599, 0.29099109230021436, 0.2917015722505948], [0.23470120418076498, 0.23698295555223442, 0.2390848082910042, 0.24555900752626958, 0.24579987125802946], [0.2754617224067645, 0.2835653466092579, 0.28025520824127303, 0.28294250353265604, 0.2713319286447555], [0.22968985028849645, 0.24621996999749196, 0.23469369159796788, 0.22604362189503824, 0.22130109609506077], [0.24784096143135764, 0.23765262865207046, 0.24704109988943235, 0.24385723186753408, 0.22557739173105437], [0.24554819288475438, 0.25930819753498957, 0.24024500449492542, 0.25193843481646105, 0.25572695404357115], [0.23271450277541386, 0.23969167405908318, 0.2233996979453623, 0.23345202521369438, 0.23482863882498767], [0.2422966054432293, 0.2294158916712886, 0.22112162793229204, 0.23209351382996868, 0.24287992282777515], [0.23088597899283325, 0.23997599512666534, 0.24776074540430507, 0.23407707473822725, 0.23603812204601288], [0.252549568538138, 0.24065064135149192, 0.2505768587132196, 0.24216018947645568, 0.24485082507234546], [0.21055099878116726, 0.216561340708261, 0.22385365476824057, 0.22930468564601988, 0.22040516142401262], [0.23042675580502248, 0.2236740817807161, 0.20951018636136284, 0.22127122894489676, 0.23218268054120586], [0.22264649148059204, 0.2098034242965076, 0.22437223187660021, 0.21388919744397528, 0.22170227452666236], [0.2302441175903002, 0.22681924298074532, 0.22367182853248754, 0.2325088321214516, 0.23233343641193552], [0.22373832255092624, 0.23768896979976092, 0.21504425611580633, 0.21943604448062864, 0.2202790301994389]]"
1,Augmented Model,"[None, None, 168413.1802814197, 133205.47531697276, 119548.2484514273, 112815.73126000444, 108242.90317933366, 105312.04641476474, 101147.56989335385, 98081.33266697476, 95499.82239297932, 92902.21708282884, 90685.6012129937, 88531.70667752763, 87316.99627967906, 85662.20905973604, 83354.38508881052, 81893.49895990852, 81156.90662309823, 79273.94519912565, 78133.05644129595]","[None, None, 1.6710424332843212, 1.5294828529823337, 1.667130053222682, 1.7497417505611268, 2.0151727245986844, 2.073936071810265, 2.06547548071989, 2.1439303645589387, 2.121405984587061, 2.0910944833444356, 1.982453755375986, 2.0645003939108224, 2.073435135813054, 1.9580899165580303, 1.998326486177495, 1.965868098714014, 2.035980562733179, 1.9727237953697094, 1.9481487139861453]","[[], [], [0.21153492065771012, 0.21114656724658531, 0.21021034513859735, 0.21665113483374557, 0.21254971867688055], [0.2761815426453256, 0.26799367923264295, 0.2636544755414015, 0.25555482637879506, 0.26455043008936385], [0.27485239725276517, 0.27126599415961017, 0.27248522166004774, 0.2767767035933914, 0.2738705573974205], [0.24459731881424973, 0.25868174135289157, 0.2635709191497366, 0.25003970436854384, 0.25498765156830644], [0.18482587518616264, 0.17716887166538195, 0.18746531109662204, 0.18768942268188155, 0.19893964721628737], [0.18761661569880528, 0.17297923007468785, 0.1820911930332061, 0.17753597664824053, 0.17973899334889418], [0.17212393161853884, 0.1633969733116525, 0.16816333630640976, 0.16856082489560137, 0.17757511665527556], [0.13684268745184217, 0.13265692535292053, 0.1411098054104172, 0.12131188396095177, 0.1296668726434063], [0.12989911924586106, 0.1407847520496474, 0.132878784448842, 0.12748159852921523, 0.13330617807058381], [0.14069829004462878, 0.1298492333691474, 0.13607317750717934, 0.13179258793784435, 0.13627550419216267], [0.15038002365140601, 0.14929686493558034, 0.15094319884911322, 0.15113166112558094, 0.15420860696046268], [0.1444954110423372, 0.1419710528342326, 0.13396007249749994, 0.14466628775499962, 0.1460218383951036], [0.13932143784559786, 0.13169789331942777, 0.13289277628080126, 0.14193460368041444, 0.1401264988176646], [0.13091532040944948, 0.14213103577661337, 0.14075187674600015, 0.13184007572711023, 0.13172429221907453], [0.14231916714513868, 0.14117281816595348, 0.1447300622443768, 0.16183648707551446, 0.1481076923618727], [0.14126892529071614, 0.1402570459848091, 0.15453670748199175, 0.15650856787594017, 0.15315115987260156], [0.13458434261835253, 0.13518113862043613, 0.128192191068088, 0.13557538347855375, 0.1254981891126187], [0.13096027156107634, 0.13957475683163592, 0.12318262540000019, 0.12902281907817523, 0.1341876447528158], [0.14081269699863622, 0.14783193746962223, 0.13522192512027875, 0.13483704321011666, 0.13758570237870438]]"
2,Indicators Model,"[None, None, 105235.33027180583, 82066.60476935847, 76386.1138610472, 72382.81831688099, 69357.97932776, 66631.27200132966, 63861.55548100458, 61904.99667331485, 59647.467730776974, 57911.31065014616, 56096.77501207381, 54689.101432066076, 53724.27188500308, 52439.013662360245, 51483.097802078584, 50605.831561299514, 49748.049624528954, 49134.337013771175, 48424.81427150307]","[None, None, 1.5731321549616482, 1.4306852649500506, 1.7601318337248892, 1.6150188548336122, 1.8161444621775367, 2.047722561382724, 1.9772564605570797, 2.0047576355588843, 1.9408776884683785, 1.9220011737992662, 1.8937624635957226, 1.8771669389120496, 1.8459441869585096, 1.91429384095716, 1.8828761849683424, 1.8983074756426803, 1.8563673360646635, 1.8624958643270835, 1.8635848077216042]","[[], [], [0.24185358781614696, 0.23307185418968987, 0.24198281949476838, 0.23888627345070945, 0.2473140425800061], [0.29918376237459143, 0.28284927927258685, 0.2820938516195727, 0.2923759481100554, 0.2991220540532862], [0.20343716794483468, 0.21161121143477055, 0.21614263021887456, 0.22697998125435054, 0.21105795801920937], [0.2280550973040941, 0.22723223359273784, 0.2212676433012307, 0.23340851321371492, 0.21374411181161404], [0.22424281372375887, 0.23221907772709385, 0.22667194350175357, 0.2231786661998565, 0.21738755712109423], [0.16823420430615652, 0.16598376669356044, 0.168812792282551, 0.15236715465912712, 0.1616318893747903], [0.16780696605266313, 0.1803064118139339, 0.18057516424437506, 0.17763778705495514, 0.1684393912646716], [0.16656790472698565, 0.16684001899469375, 0.16536043885529536, 0.17109439129879878, 0.16999334300704805], [0.1557375484905884, 0.16958105431706166, 0.16564736053560408, 0.1633710294583488, 0.16435785772672318], [0.1373736082533671, 0.13485007502657914, 0.15187574609918728, 0.14821463887457043, 0.13331839263724943], [0.1350563627581514, 0.13540685908875946, 0.13606583154478266, 0.13473276997192893, 0.1309506037614707], [0.1294803185299311, 0.13976995935332007, 0.1295988260921673, 0.1249264056398562, 0.13379553429404398], [0.1284204847191846, 0.12713985014656234, 0.13031398276441475, 0.13978514945563722, 0.13419036760934974], [0.12972166180061828, 0.1283404943865088, 0.12662232705541515, 0.12665471333213593, 0.13357591311411118], [0.13510214067146395, 0.13217971988999602, 0.1306448064164805, 0.1306337341841327, 0.12678890392181402], [0.13181119107231878, 0.12611727157756875, 0.12562748908281826, 0.12218152169048642, 0.1316410681207367], [0.12785541577622545, 0.13533343842390655, 0.1233155961733984, 0.13778911241402914, 0.13418689835159034], [0.12921506635481492, 0.1339163918915661, 0.12530746273794413, 0.1374051325099644, 0.1320008785388451], [0.1240936285386634, 0.12640789457082555, 0.12155747779409887, 0.12938938009380455, 0.13102591287316984]]"
3,Original Reduced Model,"[None, None, 10355.219512313382, 8548.201713035462, 7533.478162969523, 6577.314941139928, 5785.618544264989, 5005.8387096465885, 4527.924728642007, 4163.974391838197, 3869.3630314516354, 3611.7507171488182, 3383.5277723297368, 3186.314843597148, 3024.972658223493, 2884.0644590322563, 2738.749547719308, 2633.29834948348, 2529.5000658809286, 2441.7702059104413, 2391.748381290254]","[None, None, 1.0783601685176456, 1.281510089896306, 1.2841425312097896, 1.1801696631135257, 1.255676591278745, 1.135874754833497, 1.0899633919182405, 1.0650142673391099, 1.0078280793868313, 1.031600015782012, 1.0108759485922036, 0.9991199443690719, 1.0209667473876307, 0.9827932453794711, 1.0331586038796132, 1.034066099579837, 1.0411259415360645, 1.0521987352506381, 1.069277866832914]","[[], [], [0.4100289526650963, 0.4178200527227507, 0.413399669606742, 0.4111318953832217, 0.41913247470082643], [0.3088631979937403, 0.3150736124466511, 0.30293922720401734, 0.3130091823210531, 0.29700143422008635], [0.3144131528799166, 0.32975099703403044, 0.31571693141287205, 0.3087683158002923, 0.3098473166715686], [0.3002663865083524, 0.3140137407736927, 0.3090262026777917, 0.3048547300850211, 0.31389687314705306], [0.30647744706500973, 0.2911840401162083, 0.2833477890343714, 0.29971528948456366, 0.31103863337337234], [0.31654974447524525, 0.31297538692168175, 0.3207578153625166, 0.3140977504405044, 0.3255441076776691], [0.3152054310186851, 0.3259260931507372, 0.3348926024832644, 0.3230201553666717, 0.3296083317285728], [0.31802750280774794, 0.3053838885771744, 0.31428578666606566, 0.32546722592172184, 0.3255090690906086], [0.3260026525430014, 0.3171944153329477, 0.30386913032339974, 0.3092725236593584, 0.3319038124163951], [0.3289567043596602, 0.30196336431012333, 0.3098389409237542, 0.31300310919742924, 0.3108313796683792], [0.32189723610637094, 0.31509203180053763, 0.30553802293518745, 0.31916256978904156, 0.32497123118327254], [0.31774647075553525, 0.3060831231845222, 0.3148288680250965, 0.32589257207752326, 0.30834586995934216], [0.3315985785448072, 0.3216321732639358, 0.3237179588181074, 0.33231115798651306, 0.3148026625030234], [0.3255660791761256, 0.3181287842380694, 0.3165231418822777, 0.3287606705077629, 0.32254062707760955], [0.318705639612142, 0.3146663354411873, 0.3348527730875585, 0.31657426055278465, 0.31816788254897405], [0.31426687247020674, 0.3159590446907149, 0.3200137204749298, 0.3099035994547014, 0.3125920616288645], [0.29297959246059885, 0.3047520580403035, 0.301278728364112, 0.30548698438743904, 0.3103147342942773], [0.32143010395190874, 0.3278502250178328, 0.3142146953489388, 0.30040503312270694, 0.3203535234681547], [0.2904265920094492, 0.31597820579458435, 0.3076054261309713, 0.3089096160814869, 0.30841563387527926]]"
4,Augmented Reduced Model,"[None, None, 14236.882353733601, 12005.25874157374, 10284.64860227596, 9295.731705567834, 8464.869698636267, 7614.288397690331, 6896.840659884926, 6431.639392388914, 6099.813905340962, 5735.58664738415, 5461.267304914219, 5216.551094454493, 4995.203999833167, 4809.284534524686, 4675.613133025299, 4506.72029166718, 4323.6323504089205, 4190.044476014923, 4095.408735634579]","[None, None, 1.2319092189676077, 1.0973387429207253, 1.2858259593644272, 1.3162923890314124, 1.4282937525268373, 1.3038631259277562, 1.2284856479279815, 1.2039519138192596, 1.2124578099329322, 1.2058158452871097, 1.170384723610266, 1.1892191183703185, 1.1561785105413913, 1.1421148160624883, 1.2042091300739473, 1.1866892849729507, 1.1563078067266177, 1.1964457291295625, 1.220533370243278]","[[], [], [0.37073070877237513, 0.37157940582439, 0.37428703562092885, 0.35849727324577924, 0.3696267663779514], [0.38853067519014767, 0.3805553602399616, 0.36980280140197996, 0.38289821194283014, 0.38510448021613297], [0.2762339809192646, 0.2791465389134773, 0.27390233895265065, 0.2948758057384996, 0.2798917540165613], [0.30080744961404854, 0.29759004711350956, 0.29353637572783703, 0.28500585416731533, 0.28801122440700705], [0.2541795513761314, 0.24683395786096848, 0.26349707959413216, 0.2559448907368386, 0.2326297880312229], [0.2638265788459455, 0.26245166906749673, 0.26998352812935095, 0.26893286326314025, 0.25538426343710136], [0.2648498239896861, 0.2716361580016988, 0.2613749065447343, 0.2644136444507025, 0.27532457752690004], [0.27553797867408364, 0.27714711162989836, 0.28888774095730163, 0.27257909435978295, 0.2725430879401319], [0.2736025093280979, 0.26892069693136966, 0.2488805152949633, 0.2765108764080023, 0.26661607561362727], [0.28567224167735344, 0.2664749759138756, 0.27831113062798274, 0.27967519505960525, 0.2703005971932566], [0.26567605762661567, 0.27528539062223195, 0.2709483370214766, 0.2655569162357687, 0.2536409981993115], [0.2597346127927366, 0.2690424535989143, 0.2712249872348875, 0.2536520584939765, 0.2738571154317], [0.27929525515930537, 0.2648248191657763, 0.2685363574465002, 0.27348746182289163, 0.2686048115617252], [0.27031567245139787, 0.2707862640406769, 0.260530332409875, 0.2698998201626705, 0.2704900591374613], [0.26894751012269413, 0.26157086532267976, 0.2659032716274106, 0.27717318602888175, 0.2683736954172317], [0.27509425449181496, 0.2773459930114776, 0.27870436090569817, 0.2731406211846654, 0.2745795872335045], [0.2660933039810558, 0.2671537646032178, 0.2662014552408648, 0.2820398985908622, 0.27745219449365094], [0.2690290381911375, 0.27698405616104343, 0.2817833195173122, 0.26985682130259525, 0.2683062547193491], [0.25003372761963366, 0.2682003714937924, 0.2709699597256911, 0.252777766051283, 0.2627928222744097]]"
5,Indicators Reduced Model,"[None, None, 16175.918057746345, 13323.390555670661, 11315.164574534352, 9851.700034492134, 8671.849712848967, 7863.392819853381, 7298.135190764577, 6747.888006178613, 6302.004562842561, 6052.847165428494, 5773.43628578017, 5530.150175906798, 5354.30001041694, 5149.068390168573, 4978.616656021652, 4803.379632503545, 4653.000259072004, 4554.380637433278, 4462.710939793972]","[None, None, 0.8605863203280517, 1.3974624977552972, 1.2310252557452674, 1.2197250651236462, 1.225823666464171, 1.13349864138969, 1.196453038942363, 1.1888018275099426, 1.1622997712698255, 1.2597126966381953, 1.206162189213306, 1.2852717404060232, 1.2513221882795647, 1.2741273919763145, 1.2368511398397155, 1.2088988986075844, 1.2390611053052214, 1.2956140024645126, 1.2639442540196473]","[[], [], [0.44277422826311325, 0.43603230025090844, 0.45527158681661417, 0.4516545390255108, 0.44212026152427664], [0.33616790929476725, 0.33638642019201054, 0.35406533578046445, 0.338145308054122, 0.3412461998791774], [0.3428661752910382, 0.35208703339012676, 0.3534827253554467, 0.3535977554605561, 0.34294444437374827], [0.33494296021596803, 0.32085305447181706, 0.31958255595702423, 0.31628447143840993, 0.3193062948421974], [0.2920770805354271, 0.28870442595137935, 0.3075267494371863, 0.29658555719131424, 0.2908718528751989], [0.30954237450134203, 0.3118305759108807, 0.3070413853396535, 0.31566250245284994, 0.31753196726492355], [0.3044482388177984, 0.29350227694998926, 0.29709996379096915, 0.30544504348496265, 0.31130383482876417], [0.3033950632955443, 0.305129375425206, 0.31263009445603185, 0.31366300089300686, 0.29460636669808343], [0.3250291250425244, 0.31829177257409597, 0.30510320403751007, 0.3117096589643228, 0.3206311858879377], [0.28340003932200514, 0.28707110026956095, 0.2795669074279572, 0.2612007984667903, 0.28789216972798215], [0.2789322917136275, 0.28614230747388714, 0.28248812953085983, 0.2835232080269786, 0.2825096447143519], [0.24612687463796198, 0.2448701379328163, 0.24900965010318463, 0.2490281956309129, 0.2425863017120637], [0.2384251373276895, 0.2361007429102111, 0.24580855896415965, 0.2401144884241794, 0.24366463879740097], [0.237211924864666, 0.24462350376615027, 0.23760368786255776, 0.24537958122372197, 0.25733926485276554], [0.2449706718431879, 0.24718593320081594, 0.24103154504147892, 0.24909003427450016, 0.23316979495647305], [0.24352181247574844, 0.23238797064148634, 0.24840382964967805, 0.24385562411424092, 0.2357321079317916], [0.24014614118148814, 0.2491976251623832, 0.24262971652805443, 0.2498207789767697, 0.2426646894289974], [0.2284772933193708, 0.23010704863233936, 0.23155769813356783, 0.23790677614953515, 0.23311804280024842], [0.22628246770230748, 0.24101289236026224, 0.2252585054460938, 0.2418749019295174, 0.23971889048652315]]"
