,labels,silhouette,height,dataset
0,[1 1 3 ... 3 3 2],0.5129911611345482,0.9905403253317673,Original
1,[4 4 5 ... 2 2 3],0.3579272095652327,2.6350049405899116,Augmented
2,[2 2 2 ... 1 1 1],0.3980628225883653,2.8783342978679514,Indicators
3,[1 1 2 ... 2 2 2],0.6702663861363999,0.48075579166974364,Original Reduced
4,[2 2 3 ... 3 3 1],0.5498036283501602,1.1150921718054128,Augmented Reduced
5,[4 4 7 ... 9 9 2],0.44463631187081165,0.8811496097081268,Indicators Reduced
6,[1 3 2 ... 8 3 7],0.2744193109799903,1.4109023462874282,Random Original
7,[3 8 4 ... 2 8 1],0.18470192437379315,3.002944748958403,Random Augmented
8,[11  9  9 ...  5  8  4],0.1532909644192113,2.6167206996801435,Random Indicators
9,[1 3 2 ... 8 3 7],0.2744193109799903,1.4109023462874282,Random Original Reduced
10,[1 1 1 ... 1 1 1],0.114843262811713,2.542977965040231,Random Augmented Reduced
11,[1 1 1 ... 1 1 1],0.11719901926439584,2.2574590921427538,Random Indicators Reduced
