,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 15060.19504767214, 14264.585411885675, 13475.73898524118]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.2291870081997431, 1.2105773243840994, 1.2182897018002423]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.290283443567857, 0.2941442778122977, 0.29724149407181333], [0.3026555548768627, 0.3109781930354454, 0.30841833093108373], [0.3301359315448794, 0.33281565863852847, 0.33518473703647483]]"
1,Augmented Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 44367.91603656973, 43017.44967808517, 41637.224942774425]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.4205817943085708, 1.357411182358323, 1.3683569348839504]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.2729265083896336, 0.2708939433097659, 0.2715490576584864], [0.2848362019650272, 0.28706442315350333, 0.2855854157693424], [0.2831256442067522, 0.2777391601030571, 0.2760415877326364]]"
2,Indicators Model,"[None, None, None, None, None, None, None, None, None, None, None, None, 67631.67938435395, 64956.28324912922, 62663.12235483574, 60877.19573009947, 59153.414764430316]","[None, None, None, None, None, None, None, None, None, None, None, None, 1.5491670037475747, 1.5307887473217658, 1.581517828031195, 1.5610816255287765, 1.5432687110361725]","[[], [], [], [], [], [], [], [], [], [], [], [], [0.2296406815744218, 0.2287342169227005, 0.23079184114592508], [0.23144107997616806, 0.23266509737835678, 0.2330182258956239], [0.2489490452773542, 0.24967835794620172, 0.24282773548381473], [0.23896615418354827, 0.23981219616677635, 0.24628316907321943], [0.24139336205951004, 0.23801539535488783, 0.23913548234440005]]"
3,Original Reduced Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 14829.53888732412, 14411.423998023543, 14036.070824772842]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.1909338292828155, 1.2810090966031942, 1.1824503392307606]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.2955150488838124, 0.29083775287667646, 0.2927264170503751], [0.3073565606679027, 0.30803624830892024, 0.3064797658707052], [0.3185028496363259, 0.31445791512872473, 0.316593023474505]]"
4,Augmented Reduced Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 765.7385178189905, 709.4851120687239, 641.2870287071426]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.33221830266664487, 0.32193562747806687, 0.30797390415506615]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.8567504590901732, 0.856150751112553, 0.8537743316222833], [0.8526478178201129, 0.8496182537042303, 0.8565265021805413], [0.8586708491291629, 0.8570275458357742, 0.8622052864042719]]"
5,Indicators Reduced Model,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 230.42361317713636, 201.24815871712846, 181.18326021191712, 174.54374978739477]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.45218071989248915, 0.4790983468622147, 0.4310440353330839, 0.49564037858338966]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0.7762526957504695, 0.7772570514770643, 0.7779990478818789], [0.7763544508426735, 0.7793282198123301, 0.7835782298194736], [0.7851202303247974, 0.7886199699955406, 0.7875927952522677], [0.7820883354347485, 0.7788906016875264, 0.7830888780830069]]"
