,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, 135345.50452848268]","[None, None, 3.3397218538716054]","[[], [], [0.07882941100137421, 0.07911207714488637, 0.07952211969745648]]"
1,Augmented Model,"[None, None, 362594.874609958]","[None, None, 2.9491340481719575]","[[], [], [0.09593862482411623, 0.09590988970529908, 0.09777218494454507]]"
2,Indicators Model,"[None, None, None, None, None, None, None, None, None, 162593.0833654872]","[None, None, None, None, None, None, None, None, None, 2.274093674627471]","[[], [], [], [], [], [], [], [], [], [0.12188641157497691, 0.12048009677777652, 0.12266315497328721]]"
3,Original Reduced Model,"[None, None, 135374.60780851232]","[None, None, 3.343939349868237]","[[], [], [0.08022969753859273, 0.07950461190556002, 0.0794557268911173]]"
4,Augmented Reduced Model,"[None, None, 182799.45907271875]","[None, None, 3.8398145096732113]","[[], [], [0.06066942596009932, 0.0614227766480368, 0.06159852242056453]]"
5,Indicators Reduced Model,"[None, None, 51037.39652737016]","[None, None, 2.377559694111581]","[[], [], [0.15085183537015795, 0.15339795770121745, 0.15262878962809842]]"
