,method,silhouette,height,labels,k
0,single,0.4448982857584099,0.7548098334787937,[2 2 4 ... 3 3 3],4
1,complete,0.39070231543268674,2.0457536038333206,[1 1 2 ... 2 2 2],2
2,ward,0.4545143891070112,17.613063436573817,[1 1 4 ... 5 5 4],5
3,average,0.44463631187081165,0.8811496097081268,[4 4 7 ... 9 9 2],9
4,weighted,0.44403319370011674,1.20890265094688,[4 4 2 ... 3 3 1],5
5,centroid,0.44180764180408005,0.8623496793978852,[1 1 3 ... 4 4 6],6
6,median,0.43676214828587234,0.8559214994950773,[3 3 7 ... 5 5 8],9
