,method,silhouette,height,labels,k
0,single,0.3579272095652327,1.6220954366888047,[1 1 5 ... 2 2 4],5
1,complete,0.3691714603378136,3.849671961248292,[1 1 1 ... 2 2 4],4
2,ward,0.3710668557538428,48.477394517247546,[1 1 3 ... 3 3 2],3
3,average,0.3579272095652327,2.6350049405899116,[4 4 5 ... 2 2 3],5
4,weighted,0.3710668557538428,3.289632275590404,[2 2 3 ... 3 3 1],3
5,centroid,0.32929177534618864,2.0789142287244333,[5 5 6 ... 2 2 3],6
6,median,0.3579272095652327,2.216971465283312,[1 1 5 ... 2 2 4],5
