,method,silhouette,height,labels,k
0,single,0.12862060243897383,1.280765936376764,[1 1 1 ... 1 1 1],2
1,complete,0.09745253442943608,2.9318124305247037,[5 2 6 ... 6 2 5],6
2,ward,0.1397419882015013,14.90609238365431,[ 8  9 11 ...  7  9  5],11
3,average,0.11719901926439584,2.2574590921427538,[1 1 1 ... 1 1 1],2
4,weighted,0.1444863910706048,1.9842917436735568,[ 2  5  4 ... 11  5 10],11
5,centroid,0.11719901926439584,1.8048055361341446,[1 1 1 ... 1 1 1],2
6,median,0.04762529797113069,1.7980244164930939,[1 1 1 ... 1 1 1],3
