,method,silhouette,height,labels,k
0,single,0.6702663861363999,0.19630299888234629,[2 2 1 ... 1 1 1],2
1,complete,0.6702663861363999,1.304141647805074,[2 2 1 ... 1 1 1],2
2,ward,0.6702663861363999,18.342744211597378,[1 1 2 ... 2 2 2],2
3,average,0.6702663861363999,0.48075579166974364,[1 1 2 ... 2 2 2],2
4,weighted,0.6702663861363999,0.7063232267659658,[2 2 1 ... 1 1 1],2
5,centroid,0.6702663861363999,0.6186492208119242,[2 2 1 ... 1 1 1],2
6,median,0.6702663861363999,0.5789494021415763,[2 2 1 ... 1 1 1],2
