,method,silhouette,height,labels,k
0,single,0.4096951483926744,2.29583233190457,[1 1 2 ... 1 1 1],2
1,complete,0.3980628225883653,3.79402307830363,[1 1 1 ... 2 2 2],2
2,ward,0.3282296044266296,28.996040760865796,[5 5 5 ... 2 2 1],5
3,average,0.3980628225883653,2.8783342978679514,[2 2 2 ... 1 1 1],2
4,weighted,0.3980628225883653,2.8783342978679514,[2 2 2 ... 1 1 1],2
5,centroid,0.3980628225883653,2.870544195401663,[2 2 2 ... 1 1 1],2
6,median,0.358419760470965,2.097963006019842,[2 2 3 ... 1 1 1],3
