,method,silhouette,height,labels,k
0,single,0.5129911611345482,0.5026820329779071,[3 3 1 ... 1 1 2],3
1,complete,0.5129911611345482,2.1665996611134166,[2 2 1 ... 1 1 3],3
2,ward,0.5129911611345482,22.630433106604656,[3 3 2 ... 2 2 1],3
3,average,0.5129911611345482,0.9905403253317673,[1 1 3 ... 3 3 2],3
4,weighted,0.5129911611345482,1.194721658069252,[3 3 1 ... 1 1 2],3
5,centroid,0.5129911611345482,0.8617328329690471,[3 3 2 ... 2 2 1],3
6,median,0.5129911611345482,1.2503515254986795,[3 3 2 ... 2 2 1],3
