,Model,SSE,Separation,Silhouette
0,Original Model,"[None, None, 49250.535025302175]","[None, None, 1.3558916275942767]","[[], [], [0.3440111449414603, 0.34172478884855806, 0.33998633729544553]]"
1,Augmented Model,"[None, None, None, None, 119548.2484514273]","[None, None, None, None, 1.667130053222682]","[[], [], [], [], [0.27542119509504154, 0.26928222160397763, 0.27542498187469405]]"
2,Indicators Model,"[None, None, None, 82066.60476935847]","[None, None, None, 1.4306852649500506]","[[], [], [], [0.29389344539243994, 0.2916817676209578, 0.29167159071413445]]"
3,Original Reduced Model,"[None, None, 10355.219512313382]","[None, None, 1.0783601685176456]","[[], [], [0.41429655619899275, 0.41473249591476014, 0.41627716558269184]]"
4,Augmented Reduced Model,"[None, None, None, 12005.25874157374]","[None, None, None, 1.0973387429207253]","[[], [], [], [0.3863970912996825, 0.3850342629837885, 0.38468163639407005]]"
5,Indicators Reduced Model,"[None, None, 16175.918057746345]","[None, None, 0.8605863203280517]","[[], [], [0.4537745319289308, 0.4535657908623881, 0.45399343613409626]]"
